ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9323823330716555,0.8422281993204983,0.8662200773136808,0.895330112721417,0.8371100419059444,0.4949031284407724,"[[ 1112   130]
 [ 2099 10787]]"
0.9336833493164258,0.8434314835787089,0.8636057357183756,0.8880837359098228,0.8391277355269284,0.4932801257037283,"[[ 1103   139]
 [ 2073 10813]]"
0.9317457586070641,0.8452718006795017,0.8678885547310329,0.895330112721417,0.8404469967406487,0.49953770055975694,"[[ 1112   130]
 [ 2056 10830]]"
0.9342584407349673,0.8430775764439411,0.8645030507837463,0.8904991948470209,0.8385069067204718,0.4938914226875647,"[[ 1106   136]
 [ 2081 10805]]"
0.9324867417809539,0.8442100792751982,0.8654876542793324,0.8913043478260869,0.839670960732578,0.49599961764489425,"[[ 1107   135]
 [ 2066 10820]]"
0.9324840550218277,0.8436438278595696,0.8648134651869747,0.8904991948470209,0.8391277355269284,0.49475275920303563,"[[ 1106   136]
 [ 2073 10813]]"
0.9314252844778053,0.8425113250283126,0.8671028338935538,0.8969404186795491,0.8372652491075586,0.49609606957124097,"[[ 1114   128]
 [ 2097 10789]]"
0.9334823422441262,0.842936013590034,0.8644254471829393,0.8904991948470209,0.8383516995188577,0.49367653098669395,"[[ 1106   136]
 [ 2083 10803]]"
0.9345181191286502,0.8442808607021518,0.8651626813906066,0.8904991948470209,0.8398261679341922,0.49572516428969626,"[[ 1106   136]
 [ 2064 10822]]"
0.93312744010839,0.8436438278595696,0.8659047892543631,0.892914653784219,0.8388949247245072,0.4959010559500873,"[[ 1109   133]
 [ 2076 10810]]"
