ROC-AUC,Accuracy,BA,G-mean,Specificity,Sensitivity,MCC,cm
0.9152157237891861,0.8109048723897911,0.8295790225610162,0.8292918389860308,0.8077524226320725,0.8514056224899599,0.399585835904136,"[[2584  615]
 [  37  212]]"
0.9060076737690206,0.7951842181607195,0.8338581109015922,0.832633560183875,0.7886839637386683,0.8790322580645161,0.3936685503412364,"[[2523  676]
 [  30  218]]"
0.9239543103187489,0.8047577603713374,0.8371561425445452,0.8363003344809531,0.7993122850890904,0.875,0.4028239785963945,"[[2557  642]
 [  31  217]]"
0.9144099970756991,0.8035973310124747,0.836530947170991,0.8356459522723928,0.7980618943419818,0.875,0.4014544824825396,"[[2553  646]
 [  31  217]]"
0.9155910697197798,0.8137510879025239,0.8385191799091299,0.8380192551890635,0.8095684803001876,0.8674698795180723,0.41077959374052536,"[[2589  609]
 [  33  216]]"
0.9140820863949704,0.8062645011600929,0.8252265077816737,0.8249288383492431,0.8030634573304157,0.8473895582329317,0.3920615130044245,"[[2569  630]
 [  38  211]]"
0.9129919632143109,0.803307223672759,0.8419541388942109,0.8407430728107863,0.7968115035948734,0.8870967741935484,0.4068309503433811,"[[2549  650]
 [  28  220]]"
0.915459972370398,0.8172323759791122,0.8420171626213837,0.8415193201028386,0.8130665833072835,0.8709677419354839,0.4161723510107042,"[[2601  598]
 [  32  216]]"
0.9134016174409342,0.8062082970699158,0.8286384858171405,0.8282241776517965,0.8024382619568615,0.8548387096774194,0.39497814850502033,"[[2567  632]
 [  36  212]]"
0.9168104563344057,0.8018566869741804,0.8339606079100643,0.833115925135236,0.7964352720450282,0.8714859437751004,0.39836264583110337,"[[2547  651]
 [  32  217]]"
0.9300898498652315,0.8094547563805105,0.8491665944804538,0.8478970956083586,0.8027508596436387,0.8955823293172691,0.4187507088124048,"[[2568  631]
 [  26  223]]"
0.9128306224727485,0.8035973310124747,0.8309514566043824,0.8303369241927053,0.7989996874023132,0.8629032258064516,0.39571905199612173,"[[2556  643]
 [  34  214]]"
0.9094941463562202,0.8024369016536118,0.8191672800976111,0.8189341411184645,0.7996248827758674,0.8387096774193549,0.3828317073467245,"[[2558  641]
 [  40  208]]"
0.9056975970313302,0.8114302291847983,0.818433053676048,0.8183921758001137,0.8102532041262894,0.8266129032258065,0.3878044366973743,"[[2592  607]
 [  43  205]]"
0.9117131440081778,0.7954743255004352,0.8323726425401419,0.8312545181119423,0.7892432770481551,0.8755020080321285,0.39293099635028467,"[[2524  674]
 [  31  218]]"
0.9039760166015736,0.7998839907192575,0.8217879332271254,0.8213890454557892,0.7961863082213192,0.8473895582329317,0.38456598852383794,"[[2547  652]
 [  38  211]]"
0.9175032016053404,0.7980852915578764,0.8372809295243473,0.8360282400390351,0.7914973429196624,0.8830645161290323,0.3988715786517208,"[[2532  667]
 [  29  219]]"
0.9129982655870281,0.8178125906585436,0.8293109489860743,0.8292021820460189,0.8158799624882775,0.842741935483871,0.4034843568706229,"[[2610  589]
 [  39  209]]"
0.9219917514545876,0.8123005512039455,0.8337805917171697,0.8334029926483162,0.8086902156924038,0.8588709677419355,0.4042785677077282,"[[2587  612]
 [  35  213]]"
0.9125005337171073,0.8027270089933275,0.8288745978284621,0.8283109274863288,0.798311444652908,0.8594377510040161,0.3936592955819174,"[[2553  645]
 [  35  214]]"
0.9276794580635765,0.8140951276102089,0.8535191092597962,0.8522743510329871,0.8074398249452954,0.8995983935742972,0.4263401630783444,"[[2583  616]
 [  25  224]]"
0.9129541489780073,0.7946040034812881,0.8298258528370761,0.828805339629394,0.7886839637386683,0.8709677419354839,0.38919725700159763,"[[2523  676]
 [  32  216]]"
0.9110571347901059,0.8056280823904844,0.8190267371860158,0.8188771900433065,0.8033760550171929,0.8346774193548387,0.3846657008575829,"[[2570  629]
 [  41  207]]"
0.9133159051719791,0.8056280823904844,0.8283258881303633,0.8279014719400909,0.8018130665833073,0.8548387096774194,0.39428724330331455,"[[2565  634]
 [  36  212]]"
0.9114594714065769,0.804177545691906,0.8259529675926973,0.8255606985763458,0.8005003126954346,0.8514056224899599,0.39154204123563063,"[[2560  638]
 [  37  212]]"
0.9134694451453831,0.8059744779582366,0.8306254087936618,0.8301255439209126,0.8018130665833073,0.8594377510040161,0.3974554124656246,"[[2565  634]
 [  35  214]]"
0.9236442335810586,0.8160719466202495,0.850691118192177,0.8497294591086366,0.8102532041262894,0.8911290322580645,0.4242333489130257,"[[2592  607]
 [  27  221]]"
0.8882778388407668,0.8018566869741804,0.8095555314664865,0.809505581868092,0.8005626758361988,0.8185483870967742,0.3724914609652387,"[[2561  638]
 [  45  203]]"
0.9147364599824543,0.803307223672759,0.8233558370055158,0.8230227304928367,0.7999374804626446,0.8467741935483871,0.3877021625037031,"[[2559  640]
 [  38  210]]"
0.9227479021778169,0.800406150275602,0.8387339225570198,0.8375365864691584,0.793933708567855,0.8835341365461847,0.4023793113119103,"[[2539  659]
 [  29  220]]"
0.917568366620593,0.8126450116009281,0.8268133490510965,0.8266474918422966,0.8102532041262894,0.8433734939759037,0.3978919240270975,"[[2592  607]
 [  39  210]]"
0.9172725347638879,0.8001160429358862,0.8383750214280672,0.8371830896631183,0.7936855267271022,0.8830645161290323,0.40120774224885575,"[[2539  660]
 [  29  219]]"
0.9066492553116396,0.8050478677110531,0.8298731206324557,0.829366337158234,0.8008752735229759,0.8588709677419355,0.3955163556205308,"[[2562  637]
 [  35  213]]"
0.9207539654529137,0.8120104438642297,0.8429234438181287,0.8421496812752076,0.8068146295717412,0.8790322580645161,0.4134790958912098,"[[2581  618]
 [  30  218]]"
0.9169184555608298,0.8001160429358862,0.8274674683725521,0.82684963097491,0.7954971857410882,0.8594377510040161,0.3906173483779065,"[[2544  654]
 [  35  214]]"
0.9101375806445539,0.8080046403712297,0.8206091009866285,0.8204768473305721,0.8058768365114098,0.8353413654618473,0.3883896258416559,"[[2578  621]
 [  41  208]]"
0.9159263479514766,0.8125906585436612,0.8413762113160362,0.8407040917011547,0.8077524226320725,0.875,0.4122861071160395,"[[2584  615]
 [  31  217]]"
0.9202195242464882,0.8018566869741804,0.8318734937329206,0.8311342649794766,0.7968115035948734,0.8669354838709677,0.3955936854940521,"[[2549  650]
 [  33  215]]"
0.91363354475693,0.7972149695387293,0.8275128820498341,0.8267557641330426,0.7921225382932167,0.8629032258064516,0.3883286166043533,"[[2534  665]
 [  34  214]]"
0.9103719443125851,0.8035973310124747,0.8200852189244784,0.8198587367281671,0.8008130081300813,0.8393574297188755,0.38510500310525764,"[[2561  637]
 [  40  209]]"
0.8978081754966096,0.790893271461717,0.8187944023672056,0.8181447192703591,0.7861831822444514,0.8514056224899599,0.37631639227218655,"[[2515  684]
 [  37  212]]"
0.9158481985297825,0.8114302291847983,0.8370313555647431,0.8364970013746589,0.8071272272585183,0.8669354838709677,0.40703874773860743,"[[2582  617]
 [  33  215]]"
0.9223056096159082,0.8172323759791122,0.8494564833768616,0.8486221336131998,0.811816192560175,0.8870967741935484,0.42379467523302694,"[[2597  602]
 [  28  220]]"
0.9085941675321924,0.8001160429358862,0.8272160402948502,0.8266101516975284,0.7955611128477649,0.8588709677419355,0.389742834420232,"[[2545  654]
 [  35  213]]"
0.9195267624594688,0.8067885117493473,0.8366185191045608,0.8358916252754017,0.8017510944340213,0.8714859437751004,0.4041939231817274,"[[2564  634]
 [  32  217]]"
0.9215178940205963,0.804814385150812,0.8448140797011114,0.843519449938993,0.7980618943419818,0.891566265060241,0.4112937069929997,"[[2553  646]
 [  27  222]]"
0.9113634301041655,0.790832608064984,0.8296537980618943,0.8284136325582258,0.7843075961237886,0.875,0.3869016109922932,"[[2509  690]
 [  31  217]]"
0.9024733031491695,0.8189730200174065,0.82435665379302,0.8243326678752222,0.8180681462957174,0.8306451612903226,0.39917514351437533,"[[2617  582]
 [  42  206]]"
0.9180426847099395,0.8050478677110531,0.8391722715768033,0.8382250788783233,0.7993122850890904,0.8790322580645161,0.4050753875755432,"[[2557  642]
 [  30  218]]"
0.9178464954251027,0.8056280823904844,0.8267347061793139,0.8263665169219948,0.8020637898686679,0.8514056224899599,0.3932621657177965,"[[2565  633]
 [  37  212]]"
