,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_actual_estimator__boosting_type,param_actual_estimator__learning_rate,param_actual_estimator__n_voters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,77.14140048027039,2.663962204960157,3.093673086166382,0.8546522739050287,dart,0.1,6,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
23,72.72339448928832,2.3729928002760423,2.997252607345581,1.008182090179051,dart,0.1,8,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
24,66.50583386421204,2.2998637945703946,2.486364793777466,0.299162911934313,dart,0.1,10,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.1, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
28,85.9203131198883,2.4451990246656115,2.1255480289459228,0.47361860314620996,dart,0.3,4,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
29,76.7328932762146,4.096554109741148,2.76234827041626,0.7429401496800704,dart,0.3,6,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
30,73.43637809753417,2.312478220012548,3.2602726459503173,0.7720820332163557,dart,0.3,8,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
31,68.41487488746642,2.2704547796675913,3.338734817504883,0.5010371143471686,dart,0.3,10,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.3, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
35,87.80059952735901,3.334917561891914,2.478481817245483,0.7027900265703505,dart,0.5,4,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 4}",0.7925336597307222,0.8066117888639308,0.8715975986477822,0.8850287309589635,0.8366807610993658,0.838490507860153,0.03575876247239221,19
36,77.98874173164367,4.327240183980034,3.241401433944702,0.8505499321624455,dart,0.5,6,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 6}",0.8234517420563932,0.8665290238117656,0.8759017400388269,0.8994077627798558,0.8702092481162249,0.8670999033606133,0.024643157357251304,13
37,74.3058940410614,1.3279632148119342,2.532532215118408,0.9875785666237784,dart,0.5,8,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 8}",0.834976528978977,0.8827076636134163,0.88366712846517,0.8979508863229794,0.8790114923835854,0.8756627399528256,0.021340311898885356,7
38,67.40366563796997,2.9537780000019933,2.201151466369629,0.9408168152091125,dart,0.5,10,"{'actual_estimator__boosting_type': 'dart', 'actual_estimator__learning_rate': 0.5, 'actual_estimator__n_voters': 10}",0.8460215834756839,0.8757336095157393,0.901932828493416,0.8991773730145822,0.8854285249634086,0.881658783892566,0.020185472706841942,1
