feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9398±0.0005,0.8636±0.0011,0.8723±0.0009,0.8828±0.0019,0.8619±0.0013,0.5169±0.0020
N2V,0.9493±0.0007,0.8918±0.0010,0.8791±0.0017,0.8639±0.0036,0.8943±0.0011,0.5619±0.0026
Bio+CCBeder,0.9680±0.0005,0.9130±0.0006,0.9075±0.0012,0.9008±0.0025,0.9142±0.0007,0.6269±0.0020
Bio+CCcfs,0.9751±0.0003,0.9274±0.0011,0.9233±0.0016,0.9185±0.0027,0.9282±0.0012,0.6721±0.0038
Bio+N2V,0.9672±0.0004,0.9067±0.0017,0.9051±0.0019,0.9030±0.0033,0.9071±0.0018,0.6127±0.0045
Bio+CCcfs+N2V,0.9759±0.0003,0.9296±0.0007,0.9237±0.0016,0.9166±0.0029,0.9308±0.0007,0.6777±0.0028
