feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.7574±0.0011,0.6154±0.0014,0.7006±0.0015,0.8401±0.0027,0.5612±0.0017,0.3178±0.0023
N2V,0.7418±0.0014,0.5483±0.0032,0.6857±0.0029,0.9106±0.0029,0.4609±0.0035,0.3015±0.0045
Bio+CCBeder,0.7928±0.0012,0.6157±0.0024,0.7236±0.0020,0.9002±0.0018,0.5471±0.0028,0.3550±0.0030
Bio+CCcfs,0.8224±0.0010,0.6573±0.0023,0.7513±0.0015,0.9050±0.0025,0.5975±0.0031,0.3977±0.0023
Bio+N2V,0.7824±0.0020,0.5900±0.0024,0.7105±0.0022,0.9077±0.0044,0.5134±0.0033,0.3364±0.0034
Bio+CCcfs+N2V,0.8162±0.0013,0.6287±0.0017,0.7409±0.0015,0.9243±0.0027,0.5574±0.0021,0.3822±0.0024
