ROC-AUC,Accuracy,BA,Specificity,Sensitivity,MCC,CM
0.9594795248515162,0.8851174934725848,0.8897500731075235,0.8843388558924664,0.8951612903225806,0.534054097838905,"[[2829  370]
 [  26  222]]"
0.9573442809749014,0.8767043806208297,0.9019558783490809,0.872460143794936,0.9314516129032258,0.5345549551095545,"[[2791  408]
 [  17  231]]"
0.9471594947645491,0.8746736292428199,0.8787589381917915,0.8739837398373984,0.8835341365461847,0.5096305097797801,"[[2795  403]
 [  29  220]]"
0.9574709092781382,0.87264287786481,0.8850712418152912,0.8705440900562852,0.8995983935742972,0.5133620676477407,"[[2784  414]
 [  25  224]]"
0.9628737214791504,0.8818920487521764,0.8973110714357764,0.8792995622263915,0.9153225806451613,0.5369974315722155,"[[2812  386]
 [  21  227]]"
0.9609051215601648,0.876414273281114,0.8962200889390838,0.8730853391684902,0.9193548387096774,0.5285303758070942,"[[2793  406]
 [  20  228]]"
0.9376191148443566,0.8682912677690745,0.8658060986800311,0.8687089715536105,0.8629032258064516,0.48796020243589533,"[[2779  420]
 [  34  214]]"
0.9706782100258444,0.8740934145633884,0.8988147712802429,0.8699186991869918,0.927710843373494,0.5288213472090553,"[[2782  416]
 [  18  231]]"
0.9550873914670563,0.8819263127357122,0.8882226843584469,0.8808630393996247,0.8955823293172691,0.528740902450123,"[[2817  381]
 [  26  223]]"
0.9584468115152615,0.881601857225769,0.8859960358288446,0.8808630393996247,0.8911290322580645,0.5254300035665339,"[[2817  381]
 [  27  221]]"
0.9569585757646039,0.8691615897882217,0.8755741461545443,0.8680837761800563,0.8830645161290323,0.4988681719283304,"[[2777  422]
 [  29  219]]"
0.9568022769212153,0.8720626631853786,0.8808567949661689,0.8705845576742732,0.8911290322580645,0.5077268651450004,"[[2785  414]
 [  27  221]]"
0.9459740148838003,0.8758340586016826,0.8682742225939405,0.8771106941838649,0.8594377510040161,0.5005952273744252,"[[2805  393]
 [  35  214]]"
0.9616703210590957,0.8862779228314477,0.8979746377630597,0.884302689180738,0.9116465863453815,0.5445210828106098,"[[2828  370]
 [  22  227]]"
0.9644371986523835,0.8807312826465468,0.9059845871411567,0.8764853033145716,0.9354838709677419,0.5439053162196565,"[[2803  395]
 [  16  232]]"
0.9555052486159988,0.8656803017116333,0.882997710978229,0.8627696155048452,0.9032258064516129,0.5021896465899482,"[[2760  439]
 [  24  224]]"
0.9633441398017526,0.8793153466782709,0.9015027377507083,0.8755861206627071,0.9274193548387096,0.5375564872272799,"[[2801  398]
 [  18  230]]"
0.963398308681882,0.8854076008123005,0.8938022257887084,0.8839899937460913,0.9036144578313253,0.5391695124289156,"[[2827  371]
 [  24  225]]"
0.9542334440953305,0.8804757760371338,0.8874409457718303,0.8792995622263915,0.8955823293172691,0.5259683037784698,"[[2812  386]
 [  26  223]]"
0.9555758135124776,0.8772489843296576,0.8929497266436683,0.8746091307066917,0.9112903225806451,0.5264422643075393,"[[2797  401]
 [  22  226]]"
0.9555607094959111,0.8781549173194082,0.8934382216216761,0.8755861206627071,0.9112903225806451,0.528070334274708,"[[2801  398]
 [  22  226]]"
0.9594971714951244,0.8674209457499275,0.893234654982908,0.8630822131916224,0.9233870967741935,0.5144337172205695,"[[2761  438]
 [  19  229]]"
0.9636695625529008,0.8787351319988396,0.888354543879081,0.8771106941838649,0.8995983935742972,0.5245193206557233,"[[2805  393]
 [  25  224]]"
0.9495379893557973,0.8781549173194082,0.8787834263884807,0.8780487804878049,0.8795180722891566,0.5142153364303279,"[[2808  390]
 [  30  219]]"
0.9589562024652505,0.879570516540917,0.8904809457523856,0.8777360850531583,0.9032258064516129,0.5270932076329393,"[[2807  391]
 [  24  224]]"
0.9603958898446087,0.8645198723527705,0.8879520061712833,0.8605814316974054,0.9153225806451613,0.5058015986639011,"[[2753  446]
 [  21  227]]"
