ROC-AUC,Accuracy,BA,Specificity,Sensitivity,MCC,CM
0.9311514487119019,0.8505947200464172,0.8536182742928526,0.8500936914428482,0.8571428571428571,0.4541668940018208,"[[2722  480]
 [  35  210]]"
0.9365332891432651,0.8532056861038584,0.8625623016227103,0.8516552154903185,0.8734693877551021,0.4659073963037705,"[[2727  475]
 [  31  214]]"
0.933672832031001,0.8566869741804468,0.8644361304796747,0.8554028732042473,0.8734693877551021,0.4714231543862261,"[[2739  463]
 [  31  214]]"
0.9389182781169931,0.852625471424427,0.8792119721092684,0.8482198625858838,0.9102040816326531,0.48213193869292764,"[[2716  486]
 [  22  223]]"
0.9149225381677436,0.8508415554265816,0.8288723236501776,0.8544659587757651,0.8032786885245902,0.4282518909499874,"[[2736  466]
 [  48  196]]"
0.9229767109842062,0.8445024659123875,0.8428004181060307,0.8447845096814491,0.8408163265306122,0.43721527707636937,"[[2705  497]
 [  39  206]]"
0.9360641945722699,0.8503046127067014,0.8685394332623743,0.8472829481574016,0.889795918367347,0.4690538197305661,"[[2713  489]
 [  27  218]]"
0.9359775140537165,0.8503046127067014,0.851577457966322,0.8500936914428482,0.8530612244897959,0.4517914226246381,"[[2722  480]
 [  36  209]]"
0.9387933561931957,0.8581375108790252,0.8727555481905442,0.8557151780137414,0.889795918367347,0.48138081962439083,"[[2740  462]
 [  27  218]]"
0.9235761972537656,0.8534532791642484,0.8473149466009973,0.8544659587757651,0.8401639344262295,0.44995210951609155,"[[2736  466]
 [  39  205]]"
0.9201799895473491,0.8421816071946621,0.8509745184769724,0.8407245471580262,0.8612244897959184,0.44347457930376083,"[[2692  510]
 [  34  211]]"
0.9290417978559319,0.8601682622570351,0.8550019758059376,0.8610243597751406,0.8489795918367347,0.46556967029404966,"[[2757  445]
 [  37  208]]"
0.9328480923912351,0.8520452567449956,0.8694763476908565,0.849156777014366,0.889795918367347,0.4717382244923812,"[[2719  483]
 [  27  218]]"
0.9254139632117683,0.8447925732521033,0.8486105622761284,0.844159900062461,0.8530612244897959,0.44345708508607284,"[[2703  499]
 [  36  209]]"
0.9454528931712762,0.8575159605339524,0.8665383315755522,0.8560274828232355,0.8770491803278688,0.47378883477437844,"[[2741  461]
 [  30  214]]"
0.9291182806664202,0.8497243980272701,0.8456111613914772,0.8504059962523423,0.8408163265306122,0.44509666290839156,"[[2723  479]
 [  39  206]]"
0.9491363815982359,0.8523353640847113,0.8847098114698722,0.8469706433479075,0.9224489795918367,0.4873484654610569,"[[2712  490]
 [  19  226]]"
0.9199505411158843,0.8552364374818683,0.8429240653163201,0.8572767020612118,0.8285714285714286,0.44790015537010686,"[[2745  457]
 [  42  203]]"
0.926777906665477,0.8453727879315347,0.8564615227727568,0.8435352904434729,0.8693877551020408,0.4520301865455422,"[[2701  501]
 [  32  213]]"
0.9305723369615302,0.8549042367962856,0.8632399320097071,0.8535290443472829,0.8729508196721312,0.4677006264994451,"[[2733  469]
 [  31  213]]"
0.937120932070517,0.8532056861038584,0.8531389820137925,0.8532167395377889,0.8530612244897959,0.456301012407303,"[[2732  470]
 [  36  209]]"
0.9192048337136228,0.8424717145343777,0.8473613430381521,0.8416614615865085,0.8530612244897959,0.4400356124096216,"[[2695  507]
 [  36  209]]"
0.9348710627286517,0.8540760081230055,0.8592614309933843,0.8532167395377889,0.8653061224489796,0.46344109530666433,"[[2732  470]
 [  33  212]]"
0.9230608420757435,0.8485639686684073,0.8393325600071384,0.8500936914428482,0.8285714285714286,0.4374917462318218,"[[2722  480]
 [  42  203]]"
0.9354872978978303,0.8566453859547302,0.8698559302075547,0.8544659587757651,0.8852459016393442,0.476219256279306,"[[2736  466]
 [  28  216]]"
0.9264337340182793,0.8561067595010153,0.8528158421394791,0.8566520924422236,0.8489795918367347,0.45897228797621803,"[[2743  459]
 [  37  208]]"
0.9329997832987037,0.8549463301421526,0.861614552129409,0.853841349156777,0.8693877551020408,0.4667345566325103,"[[2734  468]
 [  32  213]]"
0.922113729939196,0.85175514940528,0.8504735560682737,0.8519675202998126,0.8489795918367347,0.4521048871046038,"[[2728  474]
 [  37  208]]"
0.9316944766663691,0.8485639686684073,0.8562945353031906,0.8472829481574016,0.8653061224489796,0.45490801381661655,"[[2713  489]
 [  33  212]]"
0.9431195666642775,0.8566453859547302,0.8660698743613111,0.8550905683947533,0.8770491803278688,0.4723910632486745,"[[2738  464]
 [  30  214]]"
0.9305969483358616,0.8532056861038584,0.8663316294662775,0.8510306058713304,0.8816326530612245,0.46973133704543146,"[[2725  477]
 [  29  216]]"
0.9296919017450829,0.8537859007832899,0.85533595074507,0.8535290443472829,0.8571428571428571,0.45913977874964357,"[[2733  469]
 [  35  210]]"
0.9302833688128592,0.8497243980272701,0.8531498170786116,0.849156777014366,0.8571428571428571,0.4528288643690711,"[[2719  483]
 [  35  210]]"
0.9451299570421549,0.8503046127067014,0.8647701054188071,0.8479075577763897,0.8816326530612245,0.4652359048772541,"[[2715  487]
 [  29  216]]"
0.922723758716376,0.8522925130586186,0.8466903369820091,0.8532167395377889,0.8401639344262295,0.4481332418363598,"[[2732  470]
 [  39  205]]"
0.9362910935767187,0.8572671888598782,0.8609791074456017,0.8566520924422236,0.8653061224489796,0.46852716637554653,"[[2743  459]
 [  33  212]]"
0.931298040765338,0.8494342906875544,0.8567629925174317,0.8482198625858838,0.8653061224489796,0.4562348103461263,"[[2716  486]
 [  33  212]]"
0.9320972861349411,0.8433420365535248,0.8515991280959605,0.8419737663960025,0.8612244897959184,0.4451748178895433,"[[2696  506]
 [  34  211]]"
0.92280972351464,0.8433420365535248,0.8497144641741768,0.8422860712054966,0.8571428571428571,0.44324508475829166,"[[2697  505]
 [  35  210]]"
0.9304725018175117,0.8583865351131746,0.8632207329435496,0.8575890068707058,0.8688524590163934,0.47135905137892536,"[[2746  456]
 [  32  212]]"
0.9227357901311682,0.8456628952712504,0.8528483473339368,0.8444722048719551,0.8612244897959184,0.4486130984168589,"[[2704  498]
 [  34  211]]"
0.9189932312712717,0.8546562228024369,0.8369577687414753,0.8575890068707058,0.8163265306122449,0.44113075520465184,"[[2746  456]
 [  45  200]]"
0.9311641958469834,0.8482738613286916,0.8504843911330928,0.8479075577763897,0.8530612244897959,0.4486859475365952,"[[2715  487]
 [  36  209]]"
0.9393172634450407,0.8497243980272701,0.8588038088439622,0.8482198625858838,0.8693877551020408,0.45859972944178595,"[[2716  486]
 [  32  213]]"
0.9346988562476319,0.8528728961114336,0.8659329210227215,0.8507183010618363,0.8811475409836066,0.46834655711258866,"[[2724  478]
 [  29  215]]"
0.9340628943644914,0.8561067595010153,0.8716624813573149,0.8535290443472829,0.889795918367347,0.47812286603905424,"[[2733  469]
 [  27  218]]"
0.927189639128606,0.8456628952712504,0.8453096916468024,0.8457214241099313,0.8448979591836735,0.44088283825347935,"[[2708  494]
 [  38  207]]"
0.9217925021351452,0.8601682622570351,0.8474633201188033,0.8622735790131169,0.8326530612244898,0.4578452828091439,"[[2761  441]
 [  41  204]]"
0.934551109638109,0.8476936466492603,0.857710742010733,0.8460337289194254,0.8693877551020408,0.45551094379622875,"[[2709  493]
 [  32  213]]"
0.9368683507234208,0.8473592571096924,0.8648590532556497,0.8444722048719551,0.8852459016393442,0.4618184146840015,"[[2704  498]
 [  28  216]]"
