feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9182±0.0008,0.8336±0.0019,0.8501±0.0025,0.8694±0.0039,0.8308±0.0019,0.4350±0.0040
N2V,0.9368±0.0003,0.8731±0.0014,0.8631±0.0017,0.8516±0.0039,0.8747±0.0016,0.4890±0.0027
Bio+CCBeder,0.9539±0.0006,0.8889±0.0009,0.8904±0.0021,0.8922±0.0041,0.8886±0.0009,0.5379±0.0031
Bio+CCcfs,0.9631±0.0007,0.9063±0.0010,0.9069±0.0022,0.9075±0.0044,0.9062±0.0011,0.5828±0.0035
Bio+N2V,0.9540±0.0005,0.8855±0.0010,0.8883±0.0012,0.8915±0.0021,0.8850±0.0011,0.5309±0.0024
Bio+CCcfs+N2V,0.9641±0.0007,0.9083±0.0013,0.9077±0.0023,0.9071±0.0041,0.9084±0.0013,0.5874±0.0042
