feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9339±0.0006,0.8545±0.0013,0.8627±0.0018,0.8727±0.0036,0.8527±0.0015,0.5034±0.0027
N2V,0.9477±0.0003,0.8868±0.0011,0.8772±0.0019,0.8655±0.0040,0.8888±0.0013,0.5590±0.0029
Bio+CCBeder,0.9664±0.0004,0.9077±0.0005,0.9049±0.0012,0.9014±0.0025,0.9084±0.0006,0.6210±0.0017
Bio+CCcfs,0.9742±0.0006,0.9242±0.0009,0.9205±0.0025,0.9160±0.0048,0.9250±0.0009,0.6689±0.0039
Bio+N2V,0.9662±0.0006,0.9035±0.0010,0.9071±0.0014,0.9114±0.0024,0.9028±0.0011,0.6155±0.0030
Bio+CCcfs+N2V,0.9750±0.0005,0.9259±0.0011,0.9201±0.0018,0.9130±0.0030,0.9272±0.0011,0.6725±0.0039
