feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.813±0.046,0.719±0.045,0.730±0.050,0.759±0.066,0.702±0.040,0.429±0.094
N2V,0.862±0.041,0.790±0.048,0.787±0.052,0.779±0.064,0.795±0.045,0.547±0.104
Bio+CCBeder,0.869±0.018,0.781±0.020,0.784±0.022,0.792±0.031,0.776±0.021,0.535±0.042
Bio+CCcfs,0.888±0.025,0.805±0.028,0.805±0.033,0.806±0.049,0.805±0.024,0.580±0.062
Bio+N2V,0.890±0.044,0.813±0.055,0.814±0.059,0.817±0.071,0.811±0.050,0.598±0.117
Bio+CCcfs+N2V,0.893±0.026,0.815±0.034,0.814±0.037,0.810±0.048,0.817±0.032,0.598±0.074
