feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.7488±0.0011,0.7004±0.0016,0.6809±0.0018,0.6490±0.0037,0.7128±0.0021,0.2988±0.0029
N2V,0.7273±0.0014,0.7008±0.0026,0.6582±0.0027,0.5885±0.0051,0.7279±0.0032,0.2655±0.0047
Bio+CCBeder,0.7808±0.0018,0.7389±0.0020,0.7043±0.0025,0.6477±0.0049,0.7609±0.0024,0.3469±0.0043
Bio+CCcfs,0.7957±0.0009,0.7476±0.0021,0.7156±0.0021,0.6632±0.0040,0.7680±0.0026,0.3671±0.0037
Bio+N2V,0.7701±0.0015,0.7283±0.0022,0.6965±0.0028,0.6444±0.0045,0.7485±0.0022,0.3312±0.0048
Bio+CCcfs+N2V,0.7947±0.0012,0.7481±0.0015,0.7106±0.0018,0.6492±0.0040,0.7720±0.0021,0.3604±0.0029
