feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.952±0.018,0.860±0.010,0.880±0.024,0.905±0.045,0.856±0.008,0.521±0.034
N2V,0.959±0.020,0.891±0.010,0.895±0.030,0.899±0.055,0.890±0.007,0.576±0.043
Bio+CCBeder,0.969±0.010,0.896±0.006,0.903±0.018,0.912±0.034,0.895±0.006,0.593±0.025
Bio+CCcfs,0.976±0.008,0.916±0.005,0.920±0.015,0.925±0.029,0.915±0.005,0.645±0.022
Bio+N2V,0.971±0.009,0.901±0.006,0.909±0.017,0.918±0.032,0.900±0.006,0.607±0.024
Bio+CCcfs+N2V,0.978±0.009,0.922±0.006,0.925±0.015,0.929±0.028,0.921±0.005,0.661±0.025
