Feature
Membrane
Mitochondrion
protein-containing complex
Nucleoplasm
GO:0005623
Ribonucleoprotein complex
Cytosol
Intracellular protein-containing complex
Intracellular non-membrane-bounded organelle
Supramolecular complex
Catalytic complex
GO:0044424
GO:0044444
Transcription preinitiation complex
Nuclear lumen
Spliceosomal complex
Nucleolus
Prp19 complex
Ubiquitin ligase complex
Chromosome
Ribosomal subunit
MIS12/MIND type complex
Nucleus
non-membrane-bounded organelle
ATPase complex
RNA polymerase complex
"Transferase complex, transferring phosphorus-containing groups"
Nuclear pore
Chromatin
sno(s)RNA-containing ribonucleoprotein complex
Cell periphery
cellular_component
Transferase complex
Plasma membrane
Endonuclease complex
Cell projection
Cell junction
Nuclear body
Cell wall
Histone deacetylase complex
Microbody
Cytoplasm
Tubulin complex
Intracellular membrane-bounded organelle
Nuclear speck
Extracellular region
Extracellular exosome complex
Extracellular space
Proteasome complex
cullin-RING ubiquitin ligase complex
protein-DNA complex
External encapsulating structure
Cellular anatomical entity
Chromosomal region
Nuclear protein-containing complex
Synapse
Nuclear ubiquitin ligase complex
serine/threonine protein kinase complex
Cortical cytoskeleton
Extracellular organelle
Ribosome
Golgi apparatus
DNA packaging complex
DNA polymerase complex
Peptidase complex
DPS complex
Endoplasmic reticulum
Periplasmic space
Endoribonuclease complex
GTPase complex
Plasma membrane protein complex
Intracellular anatomical structure
Vesicle tethering complex
Microtubule
Membrane protein complex
chaperonin-containing T-complex
Heterochromatin
Methyltransferase complex
Spindle pole body
Myb complex
Organelle envelope
Organelle lumen
Condensed nuclear chromosome
TIM22 mitochondrial import inner membrane insertion complex
GO:0031975
Paraspeckles
Messenger ribonucleoprotein complex
TOR complex
Transcription export complex
GAIT complex
Intrinsic component of membrane
Microtubule associated complex
Vesicle
Intracellular vesicle
Microtubule cytoskeleton
NADH dehydrogenase complex
Plasma membrane bounded cell projection
SWI/SNF superfamily-type complex
Kinetochore
Ribonucleoprotein granule
membrane-enclosed lumen
T cell receptor complex
Cytoplasmic vesicle
Nuclear envelope
