OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
CAPZB,CDAN1,CDC6,BCCIP,BRF2,BUD13,CARS1,BOP1,ATP6V1C1
CARS,CDC123,CDC7,BCL2L1,BRIX1,BUD23,CCDC174,BORA,ATP6V1D
CCAR1,CDC16,CDCA5,BCLAF1,BTF3,BUD31,CCNA2,BRD4,ATP6V1E1
CCDC115,CDC20,CDCA8,BDP1,BUB1,BYSL,CCNB1,BRF1,ATP6V1F
CCDC130,CDC23,CDIPT,BIRC5,BUB1B,C18orf21,CCNH,BRF2,ATP6V1G1
CCDC84,CDC27,CDK1,BMS1,BUB3,C1orf131,CCNK,BRIX1,ATP6V1H
CCDC86,CDC37,CDK11A,BNIP1,BUD13,CACTIN,CCT2,BTF3,ATR
CCNA2,CDC42,CDK7,BOP1,BUD23,CARS1,CCT3,BUB1,ATRIP
CCND1,CDC45,CDK9,BORA,BUD31,CCAR1,CCT4,BUB1B,ATXN10
CCNH,CDC5L,CDT1,BPTF,BYSL,CCDC174,CCT5,BUB3,AURKA
CCNK,CDC6,CENPA,BRD4,C18orf21,CCDC59,CCT6A,BUD13,AURKB
CCT2,CDC7,CENPK,BRF1,C1orf131,CCDC86,CCT7,BUD23,BANF1
CCT3,CDCA5,CENPN,BRF2,CACTIN,CCNA2,CCT8,BUD31,BANP
CCT4,CDCA8,CENPW,BRIX1,CAPZB,CCNB1,CDC123,BYSL,BARD1
CCT5,CDIPT,CFAP298,BTF3,CARS1,CCNH,CDC16,C19orf53,BCAS2
CCT6A,CDK1,CHAF1A,BUB1,CCAR1,CCNK,CDC20,C1orf109,BCCIP
CCT8,CDK11A,CHAF1B,BUB1B,CCDC174,CCT2,CDC23,C1orf131,BCL2L1
CDAN1,CDK7,CHCHD4,BUB3,CCDC59,CCT3,CDC26,CACTIN,BCLAF1
CDC123,CDK9,CHD4,BUD13,CCDC86,CCT4,CDC27,CAPZB,BDP1
CDC16,CDT1,CHEK1,BUD23,CCNA2,CCT5,CDC37,CARS1,BIRC5
CDC20,CENPA,CHERP,BUD31,CCNB1,CCT6A,CDC40,CCAR1,BMS1
CDC23,CENPK,CHMP2A,BYSL,CCNH,CCT7,CDC42,CCDC174,BNIP1
CDC27,CENPN,CHMP5,C18orf21,CCNK,CCT8,CDC45,CCDC59,BOP1
CDC37,CENPW,CHMP6,C19orf53,CCT2,CDC123,CDC5L,CCNA2,BORA
CDC42,CFAP298,CHORDC1,C1orf131,CCT3,CDC16,CDC6,CCNB1,BPTF
CDC45,CFLAR,CIAO1,CACTIN,CCT4,CDC20,CDC7,CCND1,BRCA2
CDC5L,CHAF1A,CIAO2B,CAMLG,CCT5,CDC23,CDC73,CCNH,BRD4
CDC6,CHAF1B,CIAO3,CAP1,CCT6A,CDC26,CDCA5,CCNK,BRF1
CDC7,CHCHD4,CIAPIN1,CAPZB,CCT7,CDC27,CDCA8,CCNL1,BRF2
CDC73,CHD4,CINP,CARS1,CCT8,CDC37,CDK1,CCT2,BRIX1
CDCA5,CHEK1,CKAP5,CCAR1,CDC123,CDC40,CDK12,CCT3,BTF3
CDCA8,CHERP,CLNS1A,CCDC174,CDC16,CDC42,CDK7,CCT4,BTF3L4
CDIPT,CHMP2A,CLP1,CCDC59,CDC20,CDC45,CDK9,CCT5,BUB1
CDK1,CHMP4B,CLTC,CCDC86,CDC23,CDC5L,CDT1,CCT6A,BUB1B
CDK11A,CHMP5,CMTR1,CCNA2,CDC26,CDC6,CEBPZ,CCT7,BUB3
CDK2,CHMP6,CNIH4,CCNB1,CDC27,CDC7,CENATAC,CCT8,BUD13
CDK4,CIAO1,CNOT3,CCNH,CDC37,CDC73,CENPC,CDC123,BUD23
CDK6,CIAO2B,COG3,CCNK,CDC40,CDCA5,CENPE,CDC16,BUD31
CDK7,CIAO3,COPA,CCNL1,CDC42,CDCA8,CENPK,CDC20,BYSL
CDK9,CIAPIN1,COPB1,CCT2,CDC45,CDK1,CENPM,CDC23,C18orf21
CDT1,CINP,COPB2,CCT3,CDC5L,CDK12,CENPN,CDC26,C19orf53
CEBPZ,CKAP5,COPE,CCT4,CDC6,CDK2,CENPW,CDC27,C1orf109
CENPA,CLNS1A,COPG1,CCT5,CDC7,CDK7,CEP192,CDC37,C1orf131
CENPK,CLP1,COPS3,CCT6A,CDC73,CDK9,CFAP298,CDC40,CACTIN
CENPN,CLTC,COPS4,CCT7,CDCA5,CDT1,CHAF1A,CDC42,CAP1
