OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
ELP6,GRWD1,HIST1H2BJ,DIS3,EIF2B5,EIF2S2,EPRS1,EAPP,DDOST
EMC1,GSPT1,HMGCS1,DKC1,EIF2S1,EIF2S3,ERCC3,EBNA1BP2,DDX10
EMC3,GTF2A1,HNRNPH1,DMAP1,EIF2S2,EIF3A,ERH,ECD,DDX11
EMC7,GTF2A2,HNRNPK,DNAAF10,EIF2S3,EIF3B,ESF1,ECT2,DDX18
ENO1,GTF2B,HNRNPM,DNAJA3,EIF3A,EIF3D,ESPL1,EEF1B2,DDX20
EP400,GTF2E1,HSPA5,DNAJC17,EIF3B,EIF3E,ESS2,EEF1G,DDX21
EPRS,GTF2H4,HSPA9,DNAJC8,EIF3D,EIF3F,ETF1,EEF2,DDX23
ERCC2,GTF3A,HSPD1,DNAJC9,EIF3E,EIF3G,EWSR1,EEF2KMT,DDX24
ERH,GTPBP4,HSPE1,DNM2,EIF3F,EIF3H,EXOSC2,EFL1,DDX27
ESF1,GUK1,HTATSF1,DNMT1,EIF3G,EIF3I,EXOSC3,EFTUD2,DDX39B
ESPL1,HARS,HUWE1,DNTTIP2,EIF3I,EIF3J,EXOSC4,EIF1,DDX3X
ESS2,HAUS1,HYOU1,DONSON,EIF3J,EIF3M,EXOSC5,EIF1AD,DDX41
ETF1,HAUS5,IARS,DPAGT1,EIF3M,EIF4A1,EXOSC6,EIF1AX,DDX42
EWSR1,HAUS6,IARS2,DPH3,EIF4A1,EIF4A3,EXOSC7,EIF2B1,DDX46
EXOSC10,HAUS7,IGBP1,DR1,EIF4A3,EIF4B,EXOSC8,EIF2B2,DDX47
EXOSC2,HCFC1,IK,DROSHA,EIF4B,EIF4E,EXOSC9,EIF2B3,DDX49
EXOSC4,HDAC3,ILF2,DSN1,EIF4E,EIF4G1,FAM32A,EIF2B4,DDX5
EXOSC5,HEATR1,ILF3,DTL,EIF4G1,EIF4G2,FARSA,EIF2B5,DDX51
EXOSC6,HINFP,IMP3,DTYMK,EIF5,EIF5,FARSB,EIF2S1,DDX52
EXOSC7,HIST1H2BJ,IMP4,DUT,EIF5B,EIF5A,FAU,EIF2S2,DDX54
EXOSC8,HMGCS1,INCENP,DYNC1H1,EIF6,EIF5B,FBL,EIF2S3,DDX55
FAM50A,HNF1B,INTS1,DYNC1I2,ELAC2,EIF6,FBXO5,EIF3A,DDX56
FARSA,HNRNPC,INTS11,DYNLRB1,ELL,ELAC2,FCF1,EIF3B,DDX59
FARSB,HNRNPH1,INTS3,EAPP,ELOC,ELL,FDX2,EIF3D,DDX6
FAU,HNRNPK,INTS4,EBNA1BP2,ELP1,ELOB,FIP1L1,EIF3E,DENR
FBL,HNRNPU,INTS5,ECD,ELP3,ELOC,FNTA,EIF3F,DGCR8
FBXO5,HSPA5,INTS7,ECT2,ELP4,ELP1,FTSJ3,EIF3G,DHDDS
FCF1,HSPA9,INTS9,EEF1B2,ELP5,ELP3,GABPA,EIF3H,DHPS
FDXR,HSPD1,IPO11,EEF1G,ELP6,ELP4,GAPDH,EIF3I,DHX15
FEN1,HSPE1,IPO7,EEF2,ENY2,ELP6,GARS1,EIF3J,DHX16
FERMT2,HTATSF1,IPO9,EEF2KMT,EP400,EP400,GBF1,EIF3M,DHX33
FGFR1OP,HUWE1,ISCU,EFL1,EPRS1,EPOP,GEMIN4,EIF4A1,DHX36
FIP1L1,HYOU1,ISY1,EFTUD2,ERCC2,EPRS1,GEMIN5,EIF4A3,DHX37
FNTB,HYPK,KANSL3,EIF1,ERCC3,ERCC2,GGPS1,EIF4B,DHX38
FOXD4,IARS,KARS,EIF1AD,ERH,ERCC3,GGTLC2,EIF4E,DHX8
FXN,IK,KAT8,EIF1AX,ESCO2,ERH,GINS1,EIF4G1,DHX9
GAPDH,ILF2,KIF11,EIF2B1,ESF1,ESF1,GINS2,EIF4G2,DIMT1
GARS,ILF3,KIF18A,EIF2B2,ESPL1,ESPL1,GINS3,EIF5,DIS3
GBF1,IMP3,KIF23,EIF2B3,ESS2,ESS2,GINS4,EIF5A,DKC1
GEMIN4,IMP4,KIN,EIF2B4,ETF1,ETF1,GNL2,EIF5B,DMAP1
GEMIN5,INCENP,KPNB1,EIF2B5,EWSR1,EWSR1,GNL3,EIF6,DNAAF10
GEMIN6,INTS1,KRI1,EIF2S1,EXOC1,EXOC1,GNL3L,ELAC2,DNAJA3
GGPS1,INTS11,KRR1,EIF2S2,EXOC3,EXOC3,GOSR2,ELL,DNAJC11
GGTLC2,INTS3,KTI12,EIF2S3,EXOSC1,EXOSC1,GPKOW,ELOB,DNAJC17
GINS1,INTS4,LETM1,EIF3A,EXOSC2,EXOSC2,GPN1,ELOC,DNAJC8
GINS2,INTS5,LONP1,EIF3B,EXOSC3,EXOSC3,GPN2,ELP1,DNAJC9
GINS3,INTS9,LRR1,EIF3D,EXOSC4,EXOSC4,GPN3,ELP3,DNM1L
GINS4,IPO11,LSG1,EIF3E,EXOSC5,EXOSC5,GPS1,ELP5,DNM2
GMPPB,IPO7,LSM2,EIF3F,EXOSC6,EXOSC6,GRPEL1,ELP6,DNMT1
GMPS,IPO9,LSM3,EIF3G,EXOSC7,EXOSC7,GRWD1,EMC3,DNTTIP2
GNB1L,ISCU,LSM4,EIF3H,EXOSC8,EXOSC8,GSPT1,EP400,DONSON
GNL2,ISY1,LSM6,EIF3I,EXOSC9,EXOSC9,GTF2A1,EPRS1,DPAGT1
GNL3L,ITGAV,LSM7,EIF3J,FAM136A,FAM133B,GTF2A2,ERCC2,DPH3
GOSR2,JAZF1,LSM8,EIF3M,FAM32A,FAM136A,GTF2B,ERCC3,DR1
GPKOW,KANSL3,LTO1,EIF4A1,FARSA,FAM32A,GTF2E1,ERH,DROSHA
GPN1,KARS,LUC7L3,EIF4A3,FAU,FANCM,GTF2E2,ESF1,DSN1
GPN2,KIF11,LYRM4,EIF4B,FBL,FARSA,GTF2F1,ESPL1,DTL
GPN3,KIF18A,MAD2L2,EIF4E,FBXO5,FARSB,GTF2F2,ESS2,DTYMK
GPS1,KIF23,MAK16,EIF4G1,FCF1,FAU,GTF2H1,ETF1,DUT
GRB2,KIN,MARS,EIF4G2,FDPS,FBL,GTF2H3,EWSR1,DYNC1H1
GRPEL1,KPNB1,MARS2,EIF5,FERMT2,FBXO5,GTF3A,EXOC3,DYNC1I2
GRWD1,KRI1,MASTL,EIF5A,FIP1L1,FCF1,GTF3C1,EXOSC1,DYNLL1
GSPT1,KRR1,MAT2A,EIF5B,FNTA,FDX2,GTF3C2,EXOSC2,DYNLRB1
GTF2A1,KTI12,MCM2,EIF6,FTSJ3,FECH,GTPBP4,EXOSC3,EAPP
GTF2A2,LETM1,MCM4,ELAC2,GABPA,FIP1L1,GUK1,EXOSC4,EBNA1BP2
GTF2B,LONP1,MCM5,ELL,GABPB1,FNBP4,H2AC12,EXOSC5,ECD
GTF2E1,LRR1,MCM6,ELOB,GAPDH,FNTA,H2AC15,EXOSC6,ECT2
GTF2E2,LSM2,MCM7,ELOC,GAR1,FOXD4,H2AC16,EXOSC7,EEF1B2
GTF2H4,LSM3,MDN1,ELP1,GARS1,FTSJ3,H2AC17,EXOSC8,EEF1G
GTF3A,LSM6,MED11,ELP2,GBF1,GABPA,H2AC20,EXOSC9,EEF2
GTPBP4,LSM7,MED17,ELP3,GEMIN5,GAPDH,H2AC6,FAM133B,EEF2KMT
GUK1,LSM8,MED22,ELP4,GEMIN7,GAR1,H2BC11,FAM32A,EFL1
HARS,LTO1,MED26,ELP5,GEMIN8,GARS1,H2BC15,FARSA,EFTUD2
HARS2,LUC7L3,MED30,ELP6,GFER,GBF1,H2BC4,FARSB,EIF1
HAUS1,LYRM4,MED4,ENY2,GGTLC2,GEMIN2,H2BC6,FAU,EIF1AD
HAUS3,MAD2L2,MED6,EP400,GINS1,GEMIN4,H2BC9,FBL,EIF1AX
HAUS4,MAK16,MED8,EPOP,GINS2,GEMIN5,HARS1,FBXO5,EIF2B1
HAUS5,MARS,METTL16,EPRS1,GINS3,GEMIN6,HAUS1,FCF1,EIF2B2
HAUS6,MARS2,MFAP1,ERCC2,GINS4,GEMIN7,HAUS2,FDX2,EIF2B3
HAUS7,MASTL,MIS18A,ERCC3,GLE1,GFER,HAUS3,FERMT2,EIF2B4
HCFC1,MAT2A,MIS18BP1,ERH,GNL2,GGTLC2,HAUS4,FIP1L1,EIF2B5
HDAC3,MCM2,MMS19,ESF1,GNL3,GINS1,HAUS5,FNTA,EIF2S1
HEATR1,MCM3AP,MMS22L,ESPL1,GNL3L,GINS2,HAUS6,FOXD4,EIF2S2
HINFP,MCM4,MNAT1,ESS2,GOSR2,GINS3,HAUS7,FTSJ3,EIF2S3
HIRA,MCM5,MPHOSPH10,ETF1,GPKOW,GINS4,HAUS8,GABPA,EIF3A
HIST1H2BJ,MCM7,MRPL10,EWSR1,GPN1,GLE1,HCFC1,GABPB1,EIF3B
HIST1H2BL,MDM2,MRPL21,EXOC1,GPN2,GMPPB,HDAC3,GAPDH,EIF3D
HIST2H3D,MDN1,MRPL33,EXOC3,GPN3,GNL2,HEATR1,GAR1,EIF3E
HMGCS1,MED11,MRPL57,EXOC5,GPR61,GNL3,HINFP,GARS1,EIF3F
HNF1B,MED17,MRTO4,EXOSC1,GPS1,GNL3L,HJURP,GBF1,EIF3G
HNRNPC,MED22,MTBP,EXOSC2,GPX4,GON4L,HMGCR,GEMIN2,EIF3H
HNRNPH1,MED30,MTOR,EXOSC3,GRB2,GOSR2,HMGCS1,GEMIN4,EIF3I
HNRNPK,MED4,MTPAP,EXOSC4,GRPEL1,GPKOW,HNRNPC,GEMIN5,EIF3J
HNRNPM,MED6,MTREX,EXOSC5,GRWD1,GPN1,HNRNPK,GEMIN6,EIF3M
HNRNPU,MED8,MVD,EXOSC6,GSPT1,GPN2,HNRNPL,GEMIN7,EIF4A1
HSD17B10,METTL14,MVK,EXOSC7,GTF2A1,GPN3,HNRNPU,GET3,EIF4A3
HSPA5,METTL16,MYC,EXOSC8,GTF2A2,GPR61,HSPA5,GGPS1,EIF4B
HSPA9,METTL3,NAA10,EXOSC9,GTF2B,GPS1,HSPA8,GGTLC2,EIF4E
HSPD1,MFAP1,NAA15,FAM133B,GTF2E1,GRPEL1,HSPA9,GINS1,EIF4G1
HSPE1,MIS18A,NAA50,FAM32A,GTF2E2,GRWD1,HSPD1,GINS2,EIF4G2
HTATSF1,MIS18BP1,NACA,FANCM,GTF2F1,GSPT1,HSPE1,GINS3,EIF5
HUWE1,MMS19,NAE1,FARSA,GTF2H1,GTF2A1,HYOU1,GINS4,EIF5A
HYOU1,MMS22L,NAPA,FARSB,GTF2H3,GTF2A2,HYPK,GMPPB,EIF5B
HYPK,MNAT1,NARS,FAU,GTF2H4,GTF2B,IARS1,GMPS,EIF6
IARS,MOCS3,NAT10,FBL,GTF3A,GTF2E1,IARS2,GNL2,ELAC2
IARS2,MPHOSPH10,NCAPD2,FBXO5,GTF3C1,GTF2E2,ICE1,GNL3,ELL
IGBP1,MRGBP,NCAPD3,FCF1,GTF3C2,GTF2F1,IGBP1,GNL3L,ELOB
IK,MRPL21,NCAPG,FDPS,GTF3C4,GTF2F2,IK,GOSR2,ELOC
ILF2,MRTO4,NCAPG2,FDX2,GTPBP4,GTF2H1,ILF2,GPKOW,ELP1
ILF3,MTBP,NCAPH2,FEN1,H2AC12,GTF2H3,ILF3,GPN1,ELP2
IMP3,MTOR,NCBP1,FIP1L1,H2AC15,GTF2H4,IMP3,GPN2,ELP3
IMP4,MTREX,NCBP2,FNBP4,H2AC16,GTF3A,IMP4,GPN3,ELP4
INCENP,MVK,NDC80,FNTA,H2AC17,GTF3C1,INCENP,GPS1,ELP5
INTS1,MYC,NDOR1,FNTB,H2AC20,GTF3C2,INO80,GPX4,ELP6
INTS11,NAA10,NEDD1,FOXD4,H2AC4,GTF3C4,INTS1,GRB2,EMC3
INTS3,NAA15,NEDD8,FTSJ3,H2AC6,GTPBP4,INTS11,GRPEL1,EMC7
INTS4,NAA50,NELFB,GABPA,H2AZ1,GUK1,INTS2,GRWD1,ENY2
INTS5,NACA,NEPRO,GABPB1,H2BC11,H2AC12,INTS3,GSPT1,EP400
INTS6,NAPA,NFS1,GAPDH,H2BC15,H2AC15,INTS5,GTF2A1,EPOP
INTS7,NARS,NFYC,GAR1,H2BC4,H2AC16,INTS7,GTF2A2,EPRS1
INTS9,NAT10,NHLRC2,GARS1,H2BC5,H2AC17,INTS8,GTF2B,ERCC2
IPO11,NCAPD2,NIFK,GBF1,H2BC6,H2AC20,INTS9,GTF2E1,ERCC3
IPO13,NCAPD3,NIP7,GEMIN2,H2BC8,H2AC4,IPO11,GTF2E2,ERH
IPO7,NCAPG,NKAP,GEMIN4,H2BC9,H2AC6,IPO13,GTF2F1,ESF1
IPO9,NCAPG2,NLE1,GEMIN5,HAPLN2,H2AZ1,IPO7,GTF2F2,ESPL1
ISCA2,NCAPH2,NMD3,GEMIN6,HARS1,H2BC11,ISCU,GTF2H1,ESS2
ISCU,NCBP1,NOB1,GEMIN7,HAUS1,H2BC15,ISG20L2,GTF2H3,ETF1
ISY1,NCBP2,NOC3L,GEMIN8,HAUS2,H2BC4,ISY1,GTF2H4,EWSR1
ITGAV,NCL,NOC4L,GFER,HAUS3,H2BC5,KANSL1,GTF3A,EXOC1
JAZF1,NDC80,NOL10,GGPS1,HAUS4,H2BC6,KANSL2,GTF3C1,EXOC3
KANSL3,NDOR1,NOL6,GGTLC2,HAUS5,H2BC9,KANSL3,GTF3C2,EXOSC1
KARS,NEDD1,NOL9,GINS1,HAUS6,HAPLN2,KARS1,GTF3C4,EXOSC10
KAT8,NEDD8,NOP10,GINS2,HAUS7,HARS1,KAT8,GTPBP4,EXOSC2
KCMF1,NELFB,NOP14,GINS3,HAUS8,HAUS1,KCMF1,GUK1,EXOSC3
KIF11,NEPRO,NOP16,GINS4,HCFC1,HAUS2,KIF11,H2AC12,EXOSC4
KIF18A,NFS1,NOP2,GLE1,HDAC3,HAUS3,KIF18A,H2AC15,EXOSC5
KIF23,NHLRC2,NOP56,GMPPB,HEATR1,HAUS4,KIF23,H2AC16,EXOSC6
KIN,NIFK,NOP58,GNB1L,HGS,HAUS5,KIN,H2AC17,EXOSC7
KPNB1,NIP7,NOP9,GNL2,HINFP,HAUS6,KMT5A,H2AC20,EXOSC8
KRAS,NKAP,NPIPB6,GNL3,HMGA1,HAUS7,KNL1,H2AC6,EXOSC9
KRI1,NLE1,NPLOC4,GNL3L,HMGCR,HAUS8,KPNB1,H2AZ1,FAM133B
KRR1,NMD3,NRBP1,GON4L,HMGCS1,HCFC1,KRR1,H2BC11,FAM32A
KTI12,NOB1,NRDE2,GOSR2,HNRNPC,HDAC3,KRTAP4-2,H2BC15,FARSA
LAS1L,NOC3L,NRF1,GPATCH1,HNRNPH1,HEATR1,LARS1,H2BC4,FARSB
LETM1,NOC4L,NSA2,GPKOW,HNRNPK,HGS,LAS1L,H2BC5,FAU
LONP1,NOL10,NSF,GPN1,HNRNPL,HINFP,LONP1,H2BC6,FBL
LRR1,NOL6,NSMCE3,GPN2,HNRNPU,HJURP,LRR1,H2BC9,FBXO5
LSG1,NOL9,NUDT21,GPN3,HSCB,HMGA1,LSG1,HARS1,FCF1
LSM2,NOP10,NUF2,GPR61,HSP90B1,HMGCR,LSM11,HAUS1,FDPS
LSM3,NOP14,NUP133,GPS1,HSPA5,HMGCS1,LSM2,HAUS2,FDX2
LSM4,NOP16,NUP205,GRPEL1,HSPA9,HNRNPC,LSM3,HAUS3,FDXR
LSM6,NOP2,NUP43,GRWD1,HSPD1,HNRNPH1,LSM4,HAUS4,FECH
LSM7,NOP56,NUP85,GSPT1,HSPE1,HNRNPK,LSM5,HAUS5,FEN1
LSM8,NOP58,NUP88,GTF2A1,HTATSF1,HNRNPL,LSM6,HAUS6,FIP1L1
LTO1,NOP9,NUP93,GTF2A2,HUWE1,HNRNPU,LSM7,HAUS7,FNBP4
LUC7L3,NPIPB6,NUS1,GTF2B,HYOU1,HSP90B1,LSM8,HAUS8,FNTA
LYRM4,NPLOC4,NUTF2,GTF2E1,IARS1,HSPA5,LTO1,HCFC1,FNTB
MAD2L2,NRDE2,NVL,GTF2E2,IARS2,HSPA8,LTV1,HDAC3,FOXD4
MAK16,NSA2,NXF1,GTF2F1,ICE1,HSPA9,LUC7L3,HEATR1,FTSJ3
MARS,NSF,OGT,GTF2F2,IGBP1,HSPD1,LYRM4,HGS,FXN
MARS2,NSMCE3,OIP5,GTF2H1,IK,HSPE1,MAD2L1,HINFP,GABPA
MASTL,NUDC,ORC6,GTF2H3,ILF2,HTATSF1,MAD2L1BP,HIRA,GABPB1
MAT2A,NUDT21,OSGEP,GTF2H4,ILF3,HYOU1,MAGOH,HJURP,GAK
MBTPS2,NUF2,PABPN1,GTF3A,IMP3,HYPK,MAK16,HMGA1,GAPDH
MCM2,NUP133,PAFAH1B1,GTF3C1,IMP4,IARS1,MARS1,HMGCR,GAR1
MCM3AP,NUP205,PAK1IP1,GTF3C2,INCENP,IARS2,MASTL,HMGCS1,GARS1
MCM4,NUP43,PAM16,GTF3C3,INHBE,ICE1,MAT2A,HNRNPC,GBF1
MCM5,NUP85,PAXBP1,GTF3C4,INO80,IGBP1,MAX,HNRNPH1,GEMIN2
MCM6,NUP93,PCBP1,GTF3C5,INTS1,IK,MCM2,HNRNPK,GEMIN4
MCM7,NUS1,PCBP2,GTPBP4,INTS11,ILF2,MCM3,HNRNPL,GEMIN5
MDM2,NUTF2,PCF11,GUK1,INTS2,ILF3,MCM3AP,HNRNPM,GEMIN6
MDN1,NVL,PCID2,H2AC12,INTS3,IMMT,MCM4,HNRNPU,GEMIN7
MED1,NXF1,PCNA,H2AC15,INTS5,IMP3,MCM5,HSCB,GEMIN8
MED11,OGT,PDAP1,H2AC16,INTS7,IMP4,MCM6,HSPA5,GET3
MED12,OIP5,PDCD11,H2AC17,INTS8,IMPDH2,MCM7,HSPA8,GFER
MED14,ORC6,PDCD2,H2AC20,INTS9,INCENP,MCRS1,HSPA9,GFPT1
MED17,OSGEP,PDRG1,H2AC4,IPO11,INO80,MDN1,HSPD1,GGPS1
MED22,PABPN1,PELO,H2AC6,IPO13,INTS1,MED11,HSPE1,GGTLC2
MED26,PAFAH1B1,PELP1,H2AZ1,IPO7,INTS11,MED14,HTATSF1,GINS1
MED30,PAK1IP1,PES1,H2BC11,ISCU,INTS2,MED17,HUWE1,GINS2
MED4,PAM16,PFDN2,H2BC15,ISG20L2,INTS3,MED18,HYOU1,GINS3
MED6,PAXBP1,PFDN6,H2BC4,ISY1,INTS5,MED20,HYPK,GINS4
MED8,PCBP1,PGD,H2BC5,ITGAV,INTS7,MED21,IARS1,GLE1
MED9,PCBP2,PGK1,H2BC6,KANSL1,INTS8,MED22,IARS2,GMNN
MEPCE,PCF11,PGS1,H2BC8,KANSL2,INTS9,MED27,ICE1,GMPPB
METTL1,PCID2,PHB,H2BC9,KANSL3,IPO11,MED28,IGBP1,GMPS
METTL14,PCNA,PHB2,H3C8,KARS1,IPO13,MED29,IK,GNB1L
METTL16,PDAP1,PHF5A,HAPLN2,KAT8,IPO7,MED30,ILF2,GNL2
METTL3,PDCD11,PI4KA,HARS1,KCMF1,ISCU,MED31,ILF3,GNL3
MFAP1,PDCD2,PIK3C3,HAUS1,KIF11,ISG20L2,MED4,IMP3,GNL3L
MIS12,PDRG1,PKM,HAUS2,KIF18A,ISY1,MED6,IMP4,GOSR2
MIS18A,PELO,PKMYT1,HAUS3,KIF20A,KANSL1,MED7,INCENP,GPATCH1
MIS18BP1,PELP1,PLA2G10,HAUS4,KIF23,KANSL2,MED8,INO80,GPKOW
MMS19,PES1,PLK1,HAUS5,KIF4A,KANSL3,MEPCE,INTS1,GPN1
MMS22L,PFDN2,PLK4,HAUS6,KIN,KARS1,METTL16,INTS11,GPN2
MNAT1,PFDN6,PMF1,HAUS7,KMT5A,KAT5,MFAP1,INTS2,GPN3
MOCS3,PFN1,PMPCA,HAUS8,KNL1,KAT8,MIS12,INTS3,GPR61
MPHOSPH10,PGD,PMPCB,HCFC1,KPNB1,KCMF1,MIS18BP1,INTS5,GPS1
MRGBP,PGK1,POLD1,HDAC3,KRR1,KIF11,MMS22L,INTS7,GPX4
MRPL10,PGS1,POLD3,HEATR1,KRTAP4-2,KIF14,MPHOSPH10,INTS8,GRB2
MRPL15,PHB,POLE,HGS,LARS1,KIF23,MRPL34,INTS9,GRPEL1
MRPL21,PHB2,POLE2,HINFP,LAS1L,KIF4A,MRPL45,IPO11,GRWD1
MRPL27,PHF5A,POLR1A,HJURP,LCE2A,KIN,MRPS21,IPO13,GSPT1
MRPL33,PI4KA,POLR1B,HMGA1,LCE5A,KLC2,MRTO4,IPO7,GTF2A1
MRPL39,PIK3C3,POLR1C,HMGCR,LIN52,KMT5A,MTBP,ISCU,GTF2A2
MRPL4,PKM,POLR1E,HMGCS1,LLPH,KNL1,MTOR,ISG20L2,GTF2B
MRPL43,PKMYT1,POLR2B,HNRNPC,LRR1,KPNB1,MTREX,ISY1,GTF2E1
MRPL49,PLA2G10,POLR2C,HNRNPH1,LSG1,KRR1,MYC,ITGAV,GTF2E2
MRPL53,PLK1,POLR2D,HNRNPK,LSM11,KRTAP4-2,MZT1,KANSL1,GTF2F1
MRPL57,PLK4,POLR2E,HNRNPL,LSM2,LARS1,NAA10,KANSL2,GTF2F2
MRPS11,PMF1,POLR2F,HNRNPM,LSM3,LAS1L,NAA15,KANSL3,GTF2H1
MRPS21,PMPCA,POLR2G,HNRNPU,LSM4,LCE2A,NAA25,KARS1,GTF2H3
MRPS23,PMPCB,POLR2H,HSCB,LSM5,LCE5A,NAA50,KAT8,GTF2H4
MRPS6,POLA2,POLR2I,HSP90B1,LSM6,LETM1,NACA,KCMF1,GTF3A
MRTO4,POLD1,POLR2K,HSPA5,LSM7,LIN52,NAPA,KIF11,GTF3C1
MSTO1,POLD3,POLR2L,HSPA8,LSM8,LIN9,NARS1,KIF18A,GTF3C2
MTBP,POLE,POLR3A,HSPA9,LTO1,LONP1,NAT10,KIF23,GTF3C3
MTOR,POLE2,POLR3B,HSPD1,LTV1,LRR1,NCAPD2,KIF4A,GTF3C4
MTPAP,POLR1A,POLR3F,HSPE1,LUC7L3,LSG1,NCAPG,KIN,GTF3C5
MTREX,POLR1B,POLR3H,HTATSF1,LYRM4,LSM10,NCAPG2,KMT5A,GTPBP4
MVD,POLR1C,POLR3K,HUWE1,MAD2L1,LSM11,NCAPH,KNL1,GUK1
MVK,POLR1E,POP5,HYOU1,MAD2L1BP,LSM2,NCBP1,KPNB1,H2AC12
MYC,POLR2B,PPA1,HYPK,MAGOH,LSM3,NCBP2,KRR1,H2AC15
NAA10,POLR2C,PPAN,IARS1,MAK16,LSM4,NCL,KRTAP4-2,H2AC16
NAA15,POLR2D,PPP1R10,IARS2,MARS1,LSM5,NDC80,KTI12,H2AC17
NAA50,POLR2E,PPP1R12A,ICE1,MASTL,LSM6,NEDD1,LARS1,H2AC20
NACA,POLR2G,PPP1R2,IGBP1,MAT2A,LSM7,NEDD8,LAS1L,H2AC4
NAE1,POLR2H,PPP1R8,IK,MAX,LSM8,NELFA,LCE2A,H2AC6
NAPA,POLR2I,PPP2CA,ILF2,MBTD1,LTO1,NELFCD,LETM1,H2AX
NARS,POLR2K,PPP2R1A,ILF3,MCM10,LTV1,NEPRO,LIN52,H2AZ1
NAT10,POLR2L,PPP4C,IMMT,MCM2,LUC7L3,NFS1,LONP1,H2BC11
NCAPD2,POLR3A,PPP6C,IMP3,MCM3,LYRM4,NFYC,LRR1,H2BC15
NCAPD3,POLR3B,PPWD1,IMP4,MCM3AP,MAD2L1,NGDN,LSG1,H2BC4
NCAPG,POLR3F,PRC1,IMPDH2,MCM4,MAD2L1BP,NHP2,LSM11,H2BC5
NCAPG2,POLR3H,PRELID1,INCENP,MCM5,MAD2L2,NIFK,LSM2,H2BC6
NCAPH2,POLR3K,PRELID3B,INO80,MCM6,MAGOH,NIP7,LSM3,H2BC9
NCBP1,POP5,PRIM1,INTS1,MCM7,MAK16,NKAP,LSM4,HAPLN2
NCBP2,POP7,PRMT1,INTS11,MCRS1,MARS1,NLE1,LSM5,HARS1
NCL,PPA1,PRMT5,INTS2,MDN1,MASTL,NMD3,LSM6,HAUS1
NDC80,PPAN,PRPF19,INTS3,MED11,MAT2A,NOB1,LSM7,HAUS2
NDOR1,PPP1R10,PRPF31,INTS5,MED14,MAX,NOC2L,LSM8,HAUS3
NDUFS5,PPP1R11,PRPF38A,INTS7,MED17,MCM10,NOC4L,LTO1,HAUS4
NEDD1,PPP1R12A,PRPF38B,INTS8,MED18,MCM2,NOL10,LTV1,HAUS5
NEDD8,PPP1R2,PRPF4,INTS9,MED20,MCM3,NOL11,LUC7L3,HAUS6
NELFA,PPP1R8,PRPF6,IPO11,MED21,MCM3AP,NOL12,LYRM4,HAUS7
NELFB,PPP2CA,PRPF8,IPO13,MED22,MCM4,NOL6,MAD2L1,HAUS8
NEPRO,PPP2R1A,PSMA1,IPO7,MED26,MCM5,NOL7,MAD2L1BP,HCFC1
NFS1,PPP2R3C,PSMA2,ISCA2,MED27,MCM6,NOL8,MAD2L2,HDAC3
NFYC,PPP4C,PSMA3,ISCU,MED28,MCM7,NOL9,MAGOH,HEATR1
NHLRC2,PPWD1,PSMA4,ISG20L2,MED29,MCRS1,NOM1,MAK16,HGS
NHP2,PRC1,PSMA5,ISY1,MED30,MDN1,NOP10,MARS1,HINFP
NIFK,PRELID1,PSMA6,KANSL1,MED31,MED11,NOP14,MASTL,HIRA
NIP7,PRELID3B,PSMA7,KANSL2,MED4,MED14,NOP16,MAT2A,HJURP
NKAP,PRIM1,PSMB2,KANSL3,MED6,MED17,NOP2,MAX,HMGA1
NLE1,PRMT1,PSMB3,KARS1,MED7,MED18,NOP56,MCM10,HMGCR
NMD3,PRMT5,PSMB4,KAT5,MED8,MED20,NOP58,MCM2,HMGCS1
NMT1,PRPF19,PSMB5,KAT8,MEPCE,MED21,NOPCHAP1,MCM3,HNRNPC
NOB1,PRPF31,PSMB6,KCMF1,METAP2,MED22,NPAT,MCM3AP,HNRNPH1
NOC3L,PRPF38A,PSMC2,KIF11,METTL16,MED27,NPLOC4,MCM4,HNRNPK
NOC4L,PRPF38B,PSMC3,KIF14,MFAP1,MED28,NRDE2,MCM5,HNRNPL
NOL10,PRPF4,PSMC5,KIF18A,MIS12,MED29,NRF1,MCM6,HNRNPM
NOL6,PRPF6,PSMC6,KIF20A,MIS18BP1,MED30,NSA2,MCM7,HNRNPU
NOL9,PRPF8,PSMD1,KIF23,MLST8,MED31,NSF,MCRS1,HSCB
NOP10,PSMA1,PSMD11,KIF4A,MMS19,MED4,NSL1,MDM2,HSP90B1
NOP14,PSMA2,PSMD13,KIN,MMS22L,MED6,NUBP1,MDN1,HSPA5
NOP16,PSMA3,PSMD14,KLC2,MOB4,MED7,NUDC,MED11,HSPA8
NOP2,PSMA4,PSMD2,KMT5A,MOCS3,MED8,NUDT21,MED14,HSPA9
NOP56,PSMA5,PSMD3,KNL1,MPHOSPH10,MEPCE,NUF2,MED17,HSPD1
NOP58,PSMA6,PSMD4,KPNB1,MRPL27,METAP2,NUFIP1,MED18,HSPE1
NOP9,PSMA7,PSMD6,KRAS,MRPL34,METTL16,NUP107,MED20,HTATSF1
NPAT,PSMB2,PSMD7,KRR1,MRPL45,METTL17,NUP133,MED21,HUWE1
NPIPB6,PSMB3,PSMG3,KRTAP4-2,MRPS21,MFAP1,NUP155,MED22,HYOU1
