,number,values_0,values_1,datetime_start,datetime_complete,duration,params_boosting_type,params_lr,params_n_estimators,params_n_voters,system_attrs_nsga2:generation,state
33,33,0.7445212941146664,0.5516906865912578,2024-05-30 23:26:30.728338,2024-05-30 23:27:02.805291,0 days 00:00:32.076953,gbdt,0.0013077758444477255,180,2,0,COMPLETE
34,34,0.7761284656245513,0.5648628026041357,2024-05-30 23:27:02.806217,2024-05-30 23:27:36.124964,0 days 00:00:33.318747,gbdt,0.00027938142552100785,170,3,0,COMPLETE
35,35,0.8891924873113594,0.4975465352697261,2024-05-30 23:27:36.126165,2024-05-30 23:29:06.464427,0 days 00:01:30.338262,gbdt,0.0033614849181931574,190,17,0,COMPLETE
36,36,0.8738892689147306,0.4766843516019192,2024-05-30 23:29:06.465615,2024-05-30 23:29:37.650781,0 days 00:00:31.185166,dart,0.00013066410127254212,60,16,0,COMPLETE
37,37,0.8869769366539146,0.4846256642441381,2024-05-30 23:29:37.651629,2024-05-30 23:30:37.049000,0 days 00:00:59.397371,gbdt,0.009828747779394666,110,19,0,COMPLETE
38,38,0.8509665323908693,0.5345618227670579,2024-05-30 23:30:37.050052,2024-05-30 23:31:07.202941,0 days 00:00:30.152889,dart,0.0001292683699329668,100,8,0,COMPLETE
39,39,0.79380262302281,0.5587864565971982,2024-05-30 23:31:07.203819,2024-05-30 23:31:33.735961,0 days 00:00:26.532142,dart,0.00022345394715377317,120,4,0,COMPLETE
40,40,0.8773280805316983,0.4839290305536861,2024-05-30 23:31:33.737251,2024-05-30 23:32:36.557926,0 days 00:01:02.820675,dart,0.00022152987500238263,130,16,0,COMPLETE
41,41,0.8796458159154823,0.4878032580010372,2024-05-30 23:32:36.559148,2024-05-30 23:33:37.332390,0 days 00:01:00.773242,dart,0.00035304173771652286,140,16,0,COMPLETE
42,42,0.8700417183924063,0.5123575988032779,2024-05-30 23:33:37.333752,2024-05-30 23:34:29.955643,0 days 00:00:52.621891,dart,0.0013866861022131744,150,12,0,COMPLETE
43,43,0.8759675880182074,0.5584174933296456,2024-05-30 23:34:29.956527,2024-05-30 23:35:33.622259,0 days 00:01:03.665732,gbdt,0.00011456131554147875,190,9,0,COMPLETE
44,44,0.8700417183924063,0.5123575988032779,2024-05-30 23:35:33.623382,2024-05-30 23:36:29.788892,0 days 00:00:56.165510,dart,0.0002322036481221612,150,12,0,COMPLETE
45,45,0.8857004720765456,0.503697766144969,2024-05-30 23:36:29.790242,2024-05-30 23:37:38.050761,0 days 00:01:08.260519,dart,0.00030562437149651974,170,15,0,COMPLETE
46,46,0.8865276616587705,0.486333910903641,2024-05-30 23:37:38.051884,2024-05-30 23:38:13.908627,0 days 00:00:35.856743,gbdt,0.0047618237000931355,60,18,0,COMPLETE
47,47,0.8701354581000397,0.5485469889129462,2024-05-30 23:38:13.909442,2024-05-30 23:38:53.633158,0 days 00:00:39.723716,gbdt,0.0008059387788154027,110,9,0,COMPLETE
48,48,0.7410068995802825,0.54489112552465,2024-05-30 23:38:53.634023,2024-05-30 23:39:15.391455,0 days 00:00:21.757432,gbdt,0.004190002234008775,110,2,0,COMPLETE
49,49,0.8703845861518583,0.5497210355422845,2024-05-30 23:39:15.392644,2024-05-30 23:40:00.853817,0 days 00:00:45.461173,gbdt,0.005055932530095061,130,9,0,COMPLETE
