feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.8990,0.8382,0.8025,0.7419,0.8631,0.5566
N2V,0.9161,0.8813,0.8091,0.6865,0.9317,0.6300
Bio+BPBeder,0.9367,0.8932,0.8375,0.7429,0.9320,0.6737
Bio+CCBeder,0.9370,0.8917,0.8411,0.7553,0.9269,0.6730
Bio+CCcfs,0.9476,0.9035,0.8595,0.7850,0.9341,0.7089
Bio+N2V,0.9410,0.8964,0.8427,0.7517,0.9337,0.6837
Bio+CCcfs+N2V,0.9508,0.9085,0.8614,0.7817,0.9412,0.7206
