feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.7391±0.0089,0.7403±0.0062,0.6749±0.0085,0.5658±0.0178,0.7840±0.0080,0.3099±0.0146
N2V,0.6972±0.0111,0.7566±0.0076,0.6337±0.0104,0.4273±0.0189,0.8400±0.0080,0.2618±0.0202
Bio+BPBeder,0.7405±0.0112,0.7869±0.0061,0.6663±0.0082,0.4651±0.0164,0.8675±0.0074,0.3335±0.0162
Bio+CCBeder,0.7430±0.0092,0.7803±0.0064,0.6707±0.0096,0.4880±0.0192,0.8535±0.0074,0.3328±0.0178
Bio+CCcfs,0.7611±0.0102,0.7697±0.0077,0.6900±0.0113,0.5571±0.0220,0.8229±0.0086,0.3499±0.0202
Bio+N2V,0.7495±0.0099,0.7785±0.0065,0.6744±0.0098,0.5005±0.0192,0.8482±0.0071,0.3361±0.0181
Bio+CCcfs+N2V,0.7572±0.0105,0.7853±0.0062,0.6807±0.0098,0.5062±0.0197,0.8552±0.0070,0.3509±0.0180
