feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9031,0.8139,0.8289,0.8464,0.8114,0.4006
N2V,0.9206,0.8562,0.8430,0.8276,0.8584,0.4513
Bio+CCBeder,0.9406,0.8688,0.8711,0.8738,0.8684,0.4942
Bio+CCcfs,0.9507,0.8873,0.8863,0.8851,0.8875,0.5341
Bio+N2V,0.9431,0.8686,0.8755,0.8836,0.8675,0.4985
Bio+CCcfs+N2V,0.9527,0.8901,0.8893,0.8884,0.8902,0.5413
