feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.8026,0.7438,0.7076,0.6231,0.7920,0.4002
N2V,0.8415,0.8014,0.7431,0.6072,0.8790,0.5011
Bio+BPBeder,0.8602,0.8090,0.7559,0.6321,0.8796,0.5231
Bio+CCBeder,0.8650,0.8117,0.7639,0.6523,0.8754,0.5338
Bio+CCcfs,0.8808,0.8232,0.7812,0.6833,0.8791,0.5651
Bio+N2V,0.8680,0.8124,0.7621,0.6449,0.8793,0.5335
Bio+CCcfs+N2V,0.8885,0.8332,0.7861,0.6762,0.8959,0.5841
