feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9275,0.8695,0.8357,0.7784,0.8930,0.6309
N2V,0.9378,0.8975,0.8361,0.7320,0.9402,0.6817
Bio+BPBeder,0.9585,0.9203,0.8778,0.8055,0.9500,0.7559
Bio+CCBeder,0.9598,0.9196,0.8798,0.8123,0.9473,0.7553
Bio+CCcfs,0.9677,0.9292,0.8954,0.8381,0.9528,0.7850
Bio+N2V,0.9606,0.9203,0.8795,0.8104,0.9487,0.7567
Bio+CCcfs+N2V,0.9689,0.9326,0.8963,0.8347,0.9579,0.7934
