feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.7163,0.7192,0.6587,0.5574,0.7600,0.2767
N2V,0.6854,0.7466,0.6260,0.4241,0.8278,0.2427
Bio+BPBeder,0.7221,0.7682,0.6526,0.4592,0.8460,0.2977
Bio+CCBeder,0.7247,0.7608,0.6574,0.4844,0.8304,0.2986
Bio+CCcfs,0.7358,0.7595,0.6699,0.5201,0.8198,0.3153
Bio+N2V,0.7293,0.7592,0.6613,0.4975,0.8251,0.3030
Bio+CCcfs+N2V,0.7390,0.7727,0.6700,0.4981,0.8418,0.3257
