feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9370,0.8802,0.8492,0.7965,0.9019,0.6597
N2V,0.9414,0.9038,0.8463,0.7485,0.9441,0.7026
Bio+BPBeder,0.9635,0.9246,0.8833,0.8133,0.9534,0.7689
Bio+CCBeder,0.9627,0.9224,0.8855,0.8227,0.9482,0.7650
Bio+CCcfs,0.9691,0.9268,0.8965,0.8451,0.9480,0.7805
Bio+N2V,0.9637,0.9205,0.8798,0.8106,0.9489,0.7576
Bio+CCcfs+N2V,0.9711,0.9326,0.8980,0.8393,0.9568,0.7946
