feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.7391,0.7403,0.6749,0.5658,0.7840,0.3099
N2V,0.6972,0.7566,0.6337,0.4273,0.8400,0.2618
Bio+BPBeder,0.7405,0.7869,0.6663,0.4651,0.8675,0.3335
Bio+CCBeder,0.7430,0.7803,0.6707,0.4880,0.8535,0.3328
Bio+CCcfs,0.7611,0.7697,0.6900,0.5571,0.8229,0.3499
Bio+N2V,0.7495,0.7785,0.6744,0.5005,0.8482,0.3361
Bio+CCcfs+N2V,0.7572,0.7853,0.6807,0.5062,0.8552,0.3509
