feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.8022,0.7376,0.7089,0.6333,0.7844,0.4067
N2V,0.8416,0.7927,0.7463,0.6261,0.8666,0.5041
Bio+BPBeder,0.8629,0.8105,0.7688,0.6591,0.8784,0.5493
Bio+CCBeder,0.8678,0.8072,0.7702,0.6727,0.8676,0.5457
Bio+CCcfs,0.8692,0.8064,0.7760,0.6960,0.8559,0.5498
Bio+N2V,0.8654,0.8075,0.7688,0.6672,0.8705,0.5450
Bio+CCcfs+N2V,0.8805,0.8189,0.7817,0.6838,0.8796,0.5717
