feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.9139,0.8514,0.8168,0.7579,0.8758,0.5887
N2V,0.9250,0.8891,0.8218,0.7074,0.9362,0.6553
Bio+BPBeder,0.9500,0.9068,0.8578,0.7742,0.9414,0.7161
Bio+CCBeder,0.9506,0.9057,0.8610,0.7848,0.9371,0.7152
Bio+CCcfs,0.9543,0.9062,0.8675,0.8015,0.9335,0.7204
Bio+N2V,0.9489,0.9044,0.8563,0.7744,0.9382,0.7097
Bio+CCcfs+N2V,0.9565,0.9126,0.8684,0.7932,0.9437,0.7345
