ROC-AUC,Accuracy,BA,Specificity,Sensitivity,MCC,CM
0.9573774044283546,0.8775747026399768,0.8982950706828641,0.8741411617738913,0.9224489795918367,0.529947461428188,"[[2799  403]
 [  19  226]]"
0.9599867429795155,0.8822164200754279,0.9007935091588165,0.8791380387257963,0.9224489795918367,0.5386593726470267,"[[2815  387]
 [  19  226]]"
0.955216765032059,0.873513199883957,0.8923396091728384,0.8703935040599625,0.9142857142857143,0.5188440921244578,"[[2787  415]
 [  21  224]]"
0.962523422860712,0.8761241659413983,0.8956296447373453,0.8728919425359151,0.9183673469387755,0.5254299071870049,"[[2795  407]
 [  20  225]]"
0.9540655942494957,0.8752176436448056,0.877956656188243,0.8747657713928795,0.8811475409836066,0.5060506614790419,"[[2801  401]
 [  29  215]]"
0.9508954862394677,0.8685813751087903,0.8746077069178702,0.8675827607745159,0.8816326530612245,0.4950957705818099,"[[2778  424]
 [  29  216]]"
0.9638083340769162,0.8769944879605454,0.8960981019515863,0.8738288569643973,0.9183673469387755,0.5270243069940104,"[[2798  404]
 [  20  225]]"
0.9603576846103837,0.8871482448505947,0.8940247804305983,0.8860087445346658,0.9020408163265307,0.5390629708450796,"[[2837  365]
 [  24  221]]"
0.9610128873535673,0.8796054540179866,0.8993881375160933,0.8763272954403498,0.9224489795918367,0.5337211887859223,"[[2806  396]
 [  19  226]]"
0.9526371837273835,0.8769587928032502,0.8807865985398471,0.8763272954403498,0.8852459016393442,0.5111420306142336,"[[2806  396]
 [  28  216]]"
0.955804407959311,0.8755439512619669,0.8896633481625005,0.8732042473454091,0.9061224489795918,0.5187831952408299,"[[2796  406]
 [  23  222]]"
0.9588611709518284,0.8767043806208297,0.8978266134686229,0.8732042473454091,0.9224489795918367,0.5283476690178563,"[[2796  406]
 [  19  226]]"
0.9542964218791826,0.8685813751087903,0.8783770347614374,0.8669581511555278,0.889795918367347,0.49887758196737264,"[[2776  426]
 [  27  218]]"
0.9539395020969038,0.8813460980562808,0.8927863962574412,0.8794503435352904,0.9061224489795918,0.52959716765542,"[[2816  386]
 [  23  222]]"
0.9652458504418344,0.8882762623331398,0.9039137936330777,0.8856964397251718,0.9221311475409836,0.5497021814699603,"[[2836  366]
 [  19  225]]"
0.9543308391439025,0.8743835219031042,0.8852694106999452,0.872579637726421,0.8979591836734694,0.5129332713840904,"[[2794  408]
 [  25  220]]"
0.9624367423421586,0.8784450246591239,0.894994200053538,0.8757026858213617,0.9142857142857143,0.5278493630963786,"[[2804  398]
 [  21  224]]"
0.9556667389004322,0.8810559907165652,0.8850915881655598,0.8803872579637726,0.889795918367347,0.5215945559540826,"[[2819  383]
 [  27  218]]"
0.9599357544391897,0.8807658833768495,0.8943587553697308,0.8785134291068083,0.9102040816326531,0.530350455543045,"[[2813  389]
 [  22  223]]"
0.9574510295819211,0.873476494486361,0.895950020990979,0.8697688944409744,0.9221311475409836,0.5216983032804289,"[[2785  417]
 [  19  225]]"
0.955335313388316,0.8859878154917319,0.8952848347333937,0.8844472204871955,0.9061224489795918,0.538604459287122,"[[2832  370]
 [  23  222]]"
0.955033206286887,0.8758340586016826,0.8898195005672476,0.8735165521549032,0.9061224489795918,0.5193126930983157,"[[2797  405]
 [  23  222]]"
0.9573927009904524,0.8740934145633884,0.8869979222169817,0.8719550281074329,0.9020408163265307,0.5142820070083686,"[[2792  410]
 [  24  221]]"
0.9616234751239658,0.8755439512619669,0.8972020038496348,0.8719550281074329,0.9224489795918367,0.5262306646607271,"[[2792  410]
 [  19  226]]"
0.9563080451766827,0.8749274521183982,0.8834795875528614,0.8735165521549032,0.8934426229508197,0.5111853063150569,"[[2797  405]
 [  26  218]]"
0.9588331272546495,0.8775747026399768,0.8982950706828641,0.8741411617738913,0.9224489795918367,0.529947461428188,"[[2799  403]
 [  19  226]]"
0.9637943122283267,0.8793153466782709,0.8973473211895626,0.8763272954403498,0.9183673469387755,0.5313272772375738,"[[2806  396]
 [  20  225]]"
0.9494193679970427,0.8798955613577023,0.8769283228594373,0.8803872579637726,0.8734693877551021,0.5118855595815314,"[[2819  383]
 [  31  214]]"
0.9568037833496922,0.8825065274151436,0.9047189894071308,0.8788257339163024,0.9306122448979591,0.5428964387721135,"[[2814  388]
 [  17  228]]"
0.9574599891461278,0.8792803250145096,0.8915009573934324,0.877264209868832,0.9057377049180327,0.5248528876801279,"[[2809  393]
 [  23  221]]"
0.9552741271399253,0.8717725558456629,0.8857487029790054,0.8694565896314803,0.9020408163265307,0.5101280393465435,"[[2784  418]
 [  24  221]]"
0.9573060204718989,0.8772845953002611,0.8811769429820648,0.8766396002498439,0.8857142857142857,0.512622992644124,"[[2807  395]
 [  28  217]]"
0.9611582046934951,0.873513199883957,0.8866856174074877,0.8713304184884447,0.9020408163265307,0.5132368361122583,"[[2790  412]
 [  24  221]]"
0.9546507922344453,0.8807658833768495,0.8868200996825963,0.8797626483447845,0.8938775510204081,0.5229086607974007,"[[2817  385]
 [  26  219]]"
0.9577287760723319,0.8850841555426582,0.9003030892577385,0.8825733916302311,0.9180327868852459,0.5415411230367306,"[[2826  376]
 [  20  224]]"
0.9530000382414052,0.8804757760371338,0.8866639472778493,0.8794503435352904,0.8938775510204081,0.522357287088567,"[[2816  386]
 [  26  219]]"
0.9628777932159747,0.8781549173194082,0.8929533837270074,0.8757026858213617,0.9102040816326531,0.5254517655533817,"[[2804  398]
 [  22  223]]"
0.9645234483549823,0.8845372787931535,0.9076967201621435,0.8806995627732667,0.9346938775510204,0.5486396628847167,"[[2820  382]
 [  16  229]]"
0.9511937692003721,0.8677110530896431,0.8816779053907634,0.8653966271080574,0.8979591836734694,0.501142971763321,"[[2771  431]
 [  25  220]]"
0.9549116330981662,0.8798607080673244,0.8880272063566829,0.8785134291068083,0.8975409836065574,0.5222034833559999,"[[2813  389]
 [  25  219]]"
0.9564774566916086,0.873513199883957,0.8885702813292713,0.8710181136789507,0.9061224489795918,0.5151085547984805,"[[2789  413]
 [  23  222]]"
0.9489209550153603,0.8854076008123005,0.8780105546278474,0.886633354153654,0.8693877551020408,0.5207146420602178,"[[2839  363]
 [  32  213]]"
0.958525921299188,0.8749637365825356,0.8912357072747901,0.8722673329169269,0.9102040816326531,0.5195943835253019,"[[2793  409]
 [  22  223]]"
0.9679103621461077,0.8801856686974181,0.9034697701691545,0.8763272954403498,0.9306122448979591,0.5385015635750471,"[[2806  396]
 [  17  228]]"
0.9507812739988327,0.8778293673824724,0.8812550557540881,0.877264209868832,0.8852459016393442,0.5127585017736636,"[[2809  393]
 [  28  216]]"
0.9636451707478744,0.8862779228314477,0.9048643067470585,0.8831980012492192,0.926530612244898,0.548376087115672,"[[2828  374]
 [  18  227]]"
0.9561485806065088,0.8767043806208297,0.8865186299379215,0.8750780762023735,0.8979591836734694,0.5171724527805285,"[[2802  400]
 [  25  220]]"
0.946799831737817,0.8717725558456629,0.8687867276829533,0.8722673329169269,0.8653061224489796,0.4931364512903256,"[[2793  409]
 [  33  212]]"
0.9628981886321049,0.8787351319988396,0.9026890081454193,0.8747657713928795,0.9306122448979591,0.5357937702965432,"[[2801  401]
 [  17  228]]"
0.9555221634019722,0.873476494486361,0.8732336859135172,0.8735165521549032,0.8729508196721312,0.49909413487781773,"[[2797  405]
 [  31  213]]"
