ROC-AUC,Accuracy,BA,Specificity,Sensitivity,MCC,CM
0.9353311966214342,0.8486078886310905,0.8610082719122818,0.8465145357924352,0.8755020080321285,0.4624180827210828,"[[2708  491]
 [  31  218]]"
0.9168011172846354,0.8427618218740934,0.8427526495174904,0.8427633635511097,0.842741935483871,0.43754740712528045,"[[2696  503]
 [  39  209]]"
0.9440966935231777,0.8421816071946621,0.8740571650414948,0.8368240075023445,0.9112903225806451,0.468973921095424,"[[2677  522]
 [  22  226]]"
0.9317289173027862,0.8459530026109661,0.857490748116851,0.8440137542982182,0.8709677419354839,0.45565316832247477,"[[2700  499]
 [  32  216]]"
0.9172575228996034,0.8462431099506817,0.8301065424926724,0.848968105065666,0.8112449799196787,0.4283175877058146,"[[2715  483]
 [  47  202]]"
0.9255113608544838,0.8471577726218097,0.8491163779845861,0.8468271334792122,0.8514056224899599,0.44883652360582393,"[[2709  490]
 [  37  212]]"
0.9133171656465227,0.8378299970989266,0.8345160786132764,0.8383869959362301,0.8306451612903226,0.42462665537774025,"[[2682  517]
 [  42  206]]"
0.9316293398138531,0.8546562228024369,0.8603198832296384,0.8537042825883089,0.8669354838709677,0.4671666297083914,"[[2731  468]
 [  33  215]]"
0.9284605068116044,0.8424717145343777,0.8537553318073188,0.8405751797436699,0.8669354838709677,0.4485934072383558,"[[2689  510]
 [  33  215]]"
0.9368920334245048,0.8413112851755149,0.8626306351107997,0.8377110694183865,0.8875502008032129,0.45727072871318536,"[[2679  519]
 [  28  221]]"
0.9308443527156454,0.8517981438515081,0.855320626049054,0.8512035010940919,0.8594377510040161,0.45976460241625794,"[[2723  476]
 [  35  214]]"
0.9267336566870696,0.834638816362054,0.8644139045467838,0.8296342607064707,0.8991935483870968,0.452575384254463,"[[2654  545]
 [  25  223]]"
0.9182506630096097,0.8465332172903974,0.8336255533483246,0.848702719599875,0.8185483870967742,0.43160786860734784,"[[2715  484]
 [  45  203]]"
0.9367317407657635,0.8520452567449956,0.8644926842057498,0.8499531103469834,0.8790322580645161,0.46874504597146294,"[[2719  480]
 [  30  218]]"
0.9254252783491691,0.8343487090223383,0.8477681834278954,0.8320825515947468,0.8634538152610441,0.43598388866920074,"[[2661  537]
 [  34  215]]"
0.9158974127205916,0.8428074245939675,0.8375132289081302,0.8437011566114411,0.8313253012048193,0.4327761951157967,"[[2699  500]
 [  42  207]]"
0.9328608234428099,0.8407310704960835,0.858397029313596,0.8377618005626758,0.8790322580645161,0.4517612412312561,"[[2680  519]
 [  30  218]]"
0.9333208966511712,0.8534957934435741,0.863414348233823,0.8518286964676461,0.875,0.46912264345086435,"[[2725  474]
 [  31  217]]"
0.9420811947281913,0.8413112851755149,0.8717284383224596,0.8361988121287902,0.907258064516129,0.46582936458727947,"[[2675  524]
 [  23  225]]"
0.9207047075104671,0.8471134319698288,0.8546474829901218,0.8458411507191995,0.8634538152610441,0.4545201442728867,"[[2705  493]
 [  34  215]]"
0.932530371564407,0.8509280742459396,0.8604069293742648,0.8493279149734292,0.8714859437751004,0.4640918735726506,"[[2717  482]
 [  32  217]]"
0.9262584577841865,0.845082680591819,0.8384235496979904,0.846201938105658,0.8306451612903226,0.43521960586584446,"[[2707  492]
 [  42  206]]"
0.9248845405318193,0.8462431099506817,0.8502077262047616,0.8455767427321038,0.8548387096774194,0.4484683626218748,"[[2705  494]
 [  36  212]]"
0.9192678659661789,0.8398607484769365,0.8430494912724742,0.8393247889965614,0.8467741935483871,0.43523782562734237,"[[2685  514]
 [  38  210]]"
0.9409181441212002,0.8482738613286916,0.870086349148941,0.8445903689806129,0.8955823293172691,0.4713713124343229,"[[2701  497]
 [  26  223]]"
0.9207370275098518,0.8506380510440835,0.8454367642498722,0.851516098780869,0.8393574297188755,0.44844406015365845,"[[2724  475]
 [  40  209]]"
0.9299213968074701,0.8343487090223383,0.8475191340035697,0.8321350422006877,0.8629032258064516,0.4350726319230504,"[[2662  537]
 [  34  214]]"
0.9212682390666438,0.8331882796634755,0.8431742782522764,0.8315098468271335,0.8548387096774194,0.4296331391237223,"[[2660  539]
 [  36  212]]"
0.9219904909800442,0.8523353640847113,0.8386113604049653,0.8546420756486403,0.8225806451612904,0.44247149847144995,"[[2734  465]
 [  44  204]]"
0.94731772618931,0.8468233246301131,0.8841180858518503,0.8405253283302064,0.927710843373494,0.4841285056560876,"[[2688  510]
 [  18  231]]"
0.9323508475916796,0.8512180974477959,0.8661184280730299,0.848702719599875,0.8835341365461847,0.47019715303780607,"[[2715  484]
 [  29  220]]"
0.9241938004820055,0.8471134319698288,0.8357979812239712,0.849015317286652,0.8225806451612904,0.4344183156960098,"[[2716  483]
 [  44  204]]"
0.9188393046214038,0.8456628952712504,0.848035298329115,0.8452641450453267,0.8508064516129032,0.4456863989488754,"[[2704  495]
 [  37  211]]"
0.9383741390958869,0.8491441833478387,0.8592100353941252,0.8474523288527664,0.8709677419354839,0.46048149683309664,"[[2711  488]
 [  32  216]]"
0.9351602783868432,0.8360893530606325,0.865371429432552,0.8311444652908068,0.8995983935742972,0.4554560418346029,"[[2658  540]
 [  25  224]]"
0.9394087760859003,0.8520881670533643,0.868439057888321,0.8493279149734292,0.8875502008032129,0.4734276463721623,"[[2717  482]
 [  28  221]]"
