,gene,prediction
0,LAGE3,0.31380248069763184
1,SERPINI2,0.8601483702659607
2,SPAST,0.4343354105949402
3,IFT57,0.7996984720230103
4,KIAA0753,0.45289376378059387
5,UBR3,0.807282567024231
6,SOX1,0.8735188841819763
7,PLEKHF1,0.915152370929718
8,ZSCAN30,0.9207663536071777
9,FUT5,0.9521459937095642
10,H2BW1,0.21032249927520752
11,MYL5,0.851703405380249
12,GPR19,0.7990517020225525
13,RUNX1T1,0.339743971824646
14,HAUS7,0.3994324207305908
15,ZNF248,0.8312391042709351
16,RFC5,0.18526966869831085
17,MDGA2,0.9693121910095215
18,OXCT1,0.42161062359809875
19,RAB11FIP2,0.8604888319969177
20,TLCD4,0.9326854348182678
21,TNFRSF9,0.8470054268836975
22,ZBTB11,0.5814719796180725
23,CST9,0.5184262990951538
24,DRD1,0.936163067817688
25,TLL1,0.9142990708351135
26,CHIT1,0.9358108043670654
27,ZNF799,0.38086289167404175
28,NTHL1,0.30621346831321716
29,KMO,0.9662625193595886
30,EIF3B,0.09303782135248184
31,ASB4,0.6839805841445923
32,THOC3,0.536841630935669
33,LCNL1,0.9718766808509827
34,ARID4A,0.3331425189971924
35,TRIM22,0.8433336615562439
36,SMARCD2,0.1950443685054779
37,DSCC1,0.6512281894683838
38,OR4C6,0.9799447059631348
39,ZNF813,0.9318970441818237
40,ADGRB3,0.3318716287612915
41,RYR3,0.8220148682594299
42,CENPO,0.2178211361169815
43,HCAR2,0.9633085131645203
44,TRO,0.572416365146637
45,LMO2,0.5048782229423523
46,BTLA,0.9599109292030334
47,OR5AS1,0.9785439372062683
48,HAUS8,0.5560976266860962
49,PRPF39,0.789276123046875
50,LPCAT1,0.7636939287185669
51,TRIM72,0.8820854425430298
52,IL17RC,0.9375256299972534
53,CLK1,0.6566451787948608
54,IQCF2,0.8197273015975952
55,PITPNA,0.4105296730995178
56,UBL4B,0.41757774353027344
57,GPX5,0.2905326187610626
58,NIF3L1,0.6309298276901245
59,IL33,0.9082157611846924
60,ZNF280B,0.978010892868042
61,ZNF354A,0.6815058588981628
62,KLK5,0.9190531373023987
63,CACNA1B,0.8582996726036072
64,KRTAP12-2,0.6720747947692871
65,TAF1B,0.18199089169502258
66,USP39,0.05750120058655739
67,PPP2R1B,0.29737189412117004
68,HTATIP2,0.17570069432258606
69,TTC13,0.9645806550979614
70,MYLK2,0.3501150906085968
71,WSB1,0.587851345539093
72,DNAAF4,0.7601660490036011
73,STUB1,0.4906657338142395
74,MAPKAP1,0.5838378667831421
75,RFX3,0.6092121005058289
76,HIRIP3,0.35664305090904236
77,PLAAT3,0.783980131149292
78,SETDB2,0.9419277310371399
79,PLEKHO1,0.6724271178245544
80,MCL1,0.35759326815605164
81,OR4F6,0.975681722164154
82,RNF19B,0.5213708877563477
83,DCAF4,0.8037399649620056
84,TP53BP1,0.16111905872821808
85,XRN2,0.184554323554039
86,PXMP4,0.12139759957790375
87,ZNF468,0.8561341762542725
88,DEFB121,0.9650009870529175
89,CCNB3,0.12328651547431946
90,SNCAIP,0.6594761610031128
91,HAO1,0.6180044412612915
92,GAS2L3,0.49613717198371887
93,TGFBR3,0.950248122215271
94,LTK,0.8784777522087097
95,PRMT1,0.16260196268558502
96,NOSIP,0.7162296175956726
97,NKAIN4,0.959678053855896
98,CHFR,0.2622683644294739
99,CACNA2D3,0.9689980149269104
100,CCL17,0.9427568316459656
101,ABCG1,0.8527534604072571
102,OR1D2,0.9580509662628174
103,ATP6V1D,0.3296545743942261
104,ATRN,0.919369101524353
105,BEND2,0.8803075551986694
106,UNC5CL,0.8447283506393433
107,NRN1,0.9607707858085632
108,FIGLA,0.6750525832176208
109,ELF4,0.9058845043182373
110,MRPS18B,0.22391393780708313
111,CDC42EP1,0.787414014339447
112,SYT4,0.9441336989402771
113,TMEM268,0.9390547275543213
114,HSPA2,0.2258014976978302
115,FANCC,0.33088916540145874
116,ITFG1,0.060679614543914795
