ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC,CM
0.9509976622435876,0.9146841673502871,0.8813588620723717,0.8247011952191236,0.9380165289256198,0.7457002234441178,"[[207  44]
 [ 60 908]]"
0.9436592473082875,0.9105824446267432,0.8566436732409206,0.7649402390438247,0.9483471074380165,0.7230762455749393,"[[192  59]
 [ 50 918]]"
0.9324288833078906,0.8794093519278097,0.8183631260156596,0.7142857142857143,0.922440537745605,0.6339538684984748,"[[180  72]
 [ 75 892]]"
0.9327325552765056,0.8802296964725185,0.8115448695852006,0.6944444444444444,0.9286452947259566,0.6306187595268944,"[[175  77]
 [ 69 898]]"
0.9373738119860147,0.904019688269073,0.8573480409054349,0.7777777777777778,0.9369183040330921,0.7095464163183541,"[[196  56]
 [ 61 906]]"
0.9369258503177373,0.8982772764561116,0.8415182246221724,0.7450199203187251,0.9380165289256198,0.6871266772851429,"[[187  64]
 [ 60 908]]"
0.9469436304369299,0.9064807219031994,0.8658650521879424,0.796812749003984,0.9349173553719008,0.7193142133777959,"[[200  51]
 [ 63 905]]"
0.9249314686232991,0.8859721082854799,0.8327690779862444,0.7420634920634921,0.9234746639089969,0.6570273651693608,"[[187  65]
 [ 74 893]]"
0.9422736002363717,0.9031993437243643,0.8494956583115838,0.7579365079365079,0.9410548086866598,0.7031529979033072,"[[191  61]
 [ 57 910]]"
0.9431476830649529,0.9031993437243643,0.856830977823739,0.7777777777777778,0.9358841778697001,0.707513133989846,"[[196  56]
 [ 62 905]]"
0.9433464489150836,0.9015586546349467,0.8539128609528827,0.7729083665338645,0.9349173553719008,0.7016924154061261,"[[194  57]
 [ 63 905]]"
0.9448116624411445,0.8982772764561116,0.8415182246221724,0.7450199203187251,0.9380165289256198,0.6871266772851429,"[[187  64]
 [ 60 908]]"
0.9424377472464338,0.9081214109926169,0.8614004202163458,0.7817460317460317,0.9410548086866598,0.7206952194948754,"[[197  55]
 [ 57 910]]"
0.9298969156776808,0.8917145200984413,0.8422567751678403,0.7579365079365079,0.9265770423991727,0.6748215492032356,"[[191  61]
 [ 71 896]]"
0.9323262914266016,0.8851517637407711,0.8293178870996865,0.7341269841269841,0.9245087900723888,0.6529610512008436,"[[185  67]
 [ 73 894]]"
0.9393747324750585,0.8958162428219852,0.8384931348984228,0.7410358565737052,0.9359504132231405,0.6800157078839096,"[[186  65]
 [ 62 906]]"
0.9403913272529717,0.9007383100902379,0.8504453261334826,0.7649402390438247,0.9359504132231405,0.6978214136704146,"[[192  59]
 [ 62 906]]"
0.928345726432593,0.8908941755537325,0.8358714564764202,0.7420634920634921,0.9296794208893485,0.6688180626200105,"[[187  65]
 [ 68 899]]"
0.9411245711659362,0.8876127973748975,0.8323361402472054,0.7380952380952381,0.9265770423991727,0.6598830561040642,"[[186  66]
 [ 71 896]]"
0.93546149931879,0.9007383100902379,0.8464774051640649,0.753968253968254,0.9389865563598759,0.6960378881175551,"[[190  62]
 [ 59 908]]"
0.9340530440222581,0.9031993437243643,0.8446173981758915,0.7450199203187251,0.9442148760330579,0.6997836409101686,"[[187  64]
 [ 54 914]]"
0.9466472951170525,0.9073010664479081,0.8737590958480129,0.8167330677290837,0.9307851239669421,0.7260004067954442,"[[205  46]
 [ 67 901]]"
0.9376528619031204,0.9073010664479081,0.866751612744374,0.7976190476190477,0.9358841778697001,0.7221189050986746,"[[201  51]
 [ 62 905]]"
0.9392656062769816,0.8925348646431501,0.8354385187373812,0.7380952380952381,0.9327817993795243,0.6718648107538295,"[[186  66]
 [ 65 902]]"
0.9437304049506737,0.8982772764561116,0.8537285993335632,0.7777777777777778,0.9296794208893485,0.6955206492906099,"[[196  56]
 [ 68 899]]"
0.9356376148299365,0.8908941755537325,0.8353939613447039,0.7410358565737052,0.9297520661157025,0.6678505055962287,"[[186  65]
 [ 68 900]]"
0.9294474992591618,0.8974569319114027,0.8321486780152119,0.7211155378486056,0.9431818181818182,0.6798362261036768,"[[181  70]
 [ 55 913]]"
0.9388511350765745,0.8941755537325676,0.8364726449007731,0.7380952380952381,0.9348500517063082,0.6759393417159894,"[[186  66]
 [ 63 904]]"
0.9434923917860837,0.8990976210008204,0.8381079594885179,0.7341269841269841,0.9420889348500517,0.687576379987808,"[[185  67]
 [ 56 911]]"
0.9381042661807915,0.9015586546349467,0.855796851660347,0.7777777777777778,0.9338159255429163,0.703476552109035,"[[196  56]
 [ 64 903]]"
0.9492772710809654,0.904019688269073,0.865790968357973,0.8007968127490039,0.9307851239669421,0.714298696844849,"[[201  50]
 [ 67 901]]"
0.9264182937670804,0.8949958982772764,0.8483051266010339,0.7689243027888446,0.9276859504132231,0.6847902707793341,"[[193  58]
 [ 70 898]]"
0.9394051312355345,0.8958162428219852,0.83017145155201,0.7182539682539683,0.9420889348500517,0.6756987340353797,"[[181  71]
 [ 56 911]]"
0.9325684082664434,0.8941755537325676,0.824736133681325,0.7063492063492064,0.9431230610134437,0.6688946167358675,"[[178  74]
 [ 55 912]]"
0.9491965003857455,0.9031993437243643,0.8538968500188769,0.7698412698412699,0.937952430196484,0.7057317970195425,"[[194  58]
 [ 60 907]]"
0.9416466365941194,0.9048400328137818,0.8545034737084719,0.7689243027888446,0.9400826446280992,0.7090069474169438,"[[193  58]
 [ 58 910]]"
0.9471905765368279,0.8999179655455292,0.8558308089954232,0.7808764940239044,0.9307851239669421,0.6995862461786748,"[[196  55]
 [ 67 901]]"
