gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
BTN2A1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTN2A2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTN3A1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTN3A2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTN3A3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTNL3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTNL8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTNL9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BTRC;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BUB1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
BUB1B;E;E;E;E;E;E;E;E;E;E;E;E;E;E
BUB3;E;E;E;E;E;E;E;E;E;E;E;E;E;E
BUD13;E;E;E;E;E;E;E;E;E;E;E;E;E;NE
BUD23;E;E;E;E;E;E;E;E;E;E;E;E;E;E
BUD31;E;E;E;E;E;E;E;E;E;E;E;E;E;E
BVES;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BYSL;E;E;E;E;E;E;E;E;E;E;E;E;E;E
BZW1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
BZW2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf105;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf120;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf53;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf62;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf67;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf71;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf82;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf88;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf90;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C10orf95;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf16;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf21;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf24;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf42;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf52;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf54;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf65;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf68;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf71;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf80;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf86;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf87;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C11orf91;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf29;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf40;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf42;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf43;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf50;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf54;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf56;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf57;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf60;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf71;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C12orf75;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C14orf119;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C14orf180;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C14orf28;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C14orf39;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C14orf93;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C15orf39;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C15orf40;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C15orf48;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C15orf61;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C15orf62;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf46;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf54;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf74;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf78;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf86;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf87;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf89;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf90;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf92;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf95;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C16orf96;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf107;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf49;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;E;NE;NE;NE
C17orf50;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;E;NE
C17orf67;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf75;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf78;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf80;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf97;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf98;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C17orf99;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C18orf21;E;NE;E;E;E;NE;E;E;E;E;E;E;E;NE
C18orf25;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C18orf32;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C18orf54;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C18orf63;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf25;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf33;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf38;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf44;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf47;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf53;E;NE;NE;E;NE;NE;E;E;NE;E;E;E;NE;NE
C19orf67;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf73;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf81;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C19orf84;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1D;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1GALT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1GALT1C1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QBP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QC;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QL2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QL3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QL4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1QTNF9B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1RL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1S;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf100;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf105;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf109;NE;E;NE;E;NE;NE;E;E;NE;E;NE;NE;E;E
C1orf112;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf115;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf116;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf122;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf127;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf131;E;E;E;E;E;E;E;E;E;E;E;E;E;E
C1orf141;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf146;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf159;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf162;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf174;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf185;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf198;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf21;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf210;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf216;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf226;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf35;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf43;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf50;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf52;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf53;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf54;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf56;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;E;NE;NE;NE
C1orf68;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf74;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf87;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C1orf94;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf141;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf144;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf173;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf202;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf27;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf85;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C20orf96;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C21orf140;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C21orf58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C21orf62;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C21orf91;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C22orf15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C22orf23;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C22orf31;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C22orf39;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C22orf42;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD2L;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD4A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD4B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD4C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD4D;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2CD6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf42;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf49;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf50;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf66;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf68;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;E;NE;NE;NE
C2orf69;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf72;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf73;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf76;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf78;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf80;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C2orf88;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3AR1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf14;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf20;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf22;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf33;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf38;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf52;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf62;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf70;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf80;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C3orf84;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4BPA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4BPB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf17;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf19;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf33;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf36;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf45;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf46;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf47;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf48;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C4orf51;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5AR1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5AR2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf22;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf24;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf34;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf46;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf47;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf52;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C5orf63;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf118;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf120;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf132;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf136;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf141;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf163;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf226;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf47;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf52;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf62;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C6orf89;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C7orf25;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C7orf31;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C7orf33;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C7orf50;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C7orf57;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8G;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf33;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf34;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf48;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf74;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf76;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf82;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C8orf88;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf131;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf152;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf153;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf24;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf40;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf43;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf50;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf57;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf64;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf72;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf78;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
C9orf85;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA13;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA14;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA5A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
CA5B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
