gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
ABCD3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCD4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCE1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
ABCF1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
ABCF3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCG1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCG2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCG4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCG5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABCG8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD12B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD13;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD14A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD14B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD16A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD16B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD17A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD17B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD17C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABHD8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABI1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABI2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABI3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABI3BP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABITRAM;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABL2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABLIM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABLIM2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABLIM3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABRA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABRACL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABRAXAS1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABRAXAS2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABT1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
ABTB1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABTB2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ABTB3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAA1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAA2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACACA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACACB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAD10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAD11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAD8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAD9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACADL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACADM;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACADS;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACADSB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACADVL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAN;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAP3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACAT2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACBD3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACBD4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACBD5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACBD6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACBD7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACCS;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACCSL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACD;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACE2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACER1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACER2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACER3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACHE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACIN1;E;NE;E;E;NE;NE;E;E;E;E;E;NE;E;NE
ACKR1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACKR2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACKR3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACKR4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACLY;NE;NE;NE;E;E;NE;NE;NE;NE;NE;NE;NE;E;NE
ACMSD;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACO1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACO2;NE;NE;NE;E;E;E;NE;E;NE;NE;NE;NE;NE;NE
ACOD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT13;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOT8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
