feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.7660±0.0013,0.7235±0.0022,0.6920±0.0020,0.6440±0.0041,0.7400±0.0029,0.3094±0.0033
N2V,0.7439±0.0012,0.7295±0.0020,0.6643±0.0022,0.5650±0.0035,0.7637±0.0021,0.2728±0.0039
Bio+CCBeder,0.7943±0.0012,0.7654±0.0023,0.7123±0.0023,0.6314±0.0033,0.7933±0.0026,0.3572±0.0044
Bio+CCcfs,0.8101±0.0019,0.7717±0.0019,0.7260±0.0015,0.6562±0.0034,0.7957±0.0026,0.3793±0.0028
Bio+N2V,0.7871±0.0017,0.7574±0.0014,0.7045±0.0024,0.6237±0.0043,0.7853±0.0012,0.3421±0.0040
Bio+CCcfs+N2V,0.8114±0.0017,0.7789±0.0018,0.7244±0.0025,0.6413±0.0043,0.8076±0.0019,0.3819±0.0043
