feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.914±0.008,0.816±0.006,0.829±0.011,0.845±0.021,0.814±0.006,0.403±0.013
N2V,0.927±0.009,0.867±0.005,0.849±0.014,0.829±0.030,0.870±0.006,0.470±0.017
Bio+CCBeder,0.946±0.007,0.873±0.005,0.874±0.010,0.874±0.021,0.873±0.006,0.503±0.013
Bio+CCcfs,0.956±0.005,0.892±0.004,0.887±0.009,0.882±0.019,0.893±0.004,0.542±0.012
Bio+N2V,0.949±0.007,0.877±0.005,0.880±0.008,0.885±0.018,0.876±0.006,0.513±0.012
Bio+CCcfs+N2V,0.957±0.006,0.894±0.004,0.890±0.009,0.886±0.019,0.894±0.004,0.548±0.011
