,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_learning_rate,params_n_estimators,params_n_voters,state
0,0,0.8853870476741432,2024-06-05 10:55:36.431230,2024-06-05 10:57:27.994247,0 days 00:01:51.563017,gbdt,0.049583999194270194,180,15,COMPLETE
1,1,0.8682722393654574,2024-06-05 10:57:28.036931,2024-06-05 10:58:03.917219,0 days 00:00:35.880288,gbdt,0.028756885542367855,60,10,COMPLETE
2,2,0.8673928962924744,2024-06-05 10:58:03.943144,2024-06-05 10:59:05.800986,0 days 00:01:01.857842,dart,0.09771023001993191,80,20,COMPLETE
3,3,0.8647228449578928,2024-06-05 10:59:05.824959,2024-06-05 11:00:34.964696,0 days 00:01:29.139737,dart,0.02202944949152839,200,8,COMPLETE
4,4,0.8881750128896293,2024-06-05 11:00:34.985200,2024-06-05 11:02:04.447899,0 days 00:01:29.462699,gbdt,0.08889072270341722,140,15,COMPLETE
5,5,0.5,2024-06-05 11:02:04.473791,2024-06-05 11:02:54.579557,0 days 00:00:50.105766,gbdt,0.0011750716783711689,100,7,COMPLETE
6,6,0.8532958419016758,2024-06-05 11:02:54.607868,2024-06-05 11:04:12.878780,0 days 00:01:18.270912,dart,0.007230185333092962,140,14,COMPLETE
7,7,0.8631322876918992,2024-06-05 11:04:12.898727,2024-06-05 11:05:01.378222,0 days 00:00:48.479495,gbdt,0.03719635374615152,60,19,COMPLETE
8,8,0.8378939656270804,2024-06-05 11:05:01.403661,2024-06-05 11:06:23.226002,0 days 00:01:21.822341,dart,0.013704874791346352,120,20,COMPLETE
9,9,0.8655160670690742,2024-06-05 11:06:23.253566,2024-06-05 11:07:21.182252,0 days 00:00:57.928686,gbdt,0.014628097240409726,100,12,COMPLETE
10,10,0.807671220625711,2024-06-05 11:07:21.204818,2024-06-05 11:09:23.377896,0 days 00:02:02.173078,gbdt,0.08912943616101923,160,2,COMPLETE
11,11,0.8867449950587076,2024-06-05 11:09:23.401873,2024-06-05 11:11:12.844978,0 days 00:01:49.443105,gbdt,0.05987131134076475,180,15,COMPLETE
12,12,0.8840454056684909,2024-06-05 11:11:12.878465,2024-06-05 11:12:54.888003,0 days 00:01:42.009538,gbdt,0.0600097952339956,160,16,COMPLETE
13,13,0.8834964289654194,2024-06-05 11:12:54.911635,2024-06-05 11:15:03.241229,0 days 00:02:08.329594,gbdt,0.0827803034611895,200,17,COMPLETE
14,14,0.8830018952670635,2024-06-05 11:15:03.263901,2024-06-05 11:16:36.734840,0 days 00:01:33.470939,gbdt,0.043999411679540905,160,13,COMPLETE
15,15,0.891458890845269,2024-06-05 11:16:36.759285,2024-06-05 11:17:48.725832,0 days 00:01:11.966547,gbdt,0.09830019889092606,140,10,COMPLETE
16,16,0.8416829743097736,2024-06-05 11:17:48.749369,2024-06-05 11:19:09.929881,0 days 00:01:21.180512,gbdt,0.09881879809828929,120,3,COMPLETE
17,17,0.8694155723529973,2024-06-05 11:19:09.954100,2024-06-05 11:20:21.222264,0 days 00:01:11.268164,gbdt,0.027927034950398454,140,6,COMPLETE
18,18,0.8720976032009039,2024-06-05 11:20:21.250389,2024-06-05 11:21:11.849943,0 days 00:00:50.599554,dart,0.05194154998160749,100,10,COMPLETE
19,19,0.8817323391487406,2024-06-05 11:21:11.873049,2024-06-05 11:22:28.227983,0 days 00:01:16.354934,gbdt,0.034590992303799084,140,11,COMPLETE
20,20,0.7800575413982973,2024-06-05 11:22:28.248833,2024-06-05 11:23:30.032032,0 days 00:01:01.783199,gbdt,0.007525854653337034,120,5,COMPLETE
21,21,0.8841088733696782,2024-06-05 11:23:30.056208,2024-06-05 11:25:26.201734,0 days 00:01:56.145526,gbdt,0.07033603645361394,180,17,COMPLETE
22,22,0.889298315046964,2024-06-05 11:25:26.230130,2024-06-05 11:26:54.179467,0 days 00:01:27.949337,gbdt,0.06375873386662577,180,9,COMPLETE
23,23,0.8889936782128007,2024-06-05 11:26:54.212821,2024-06-05 11:28:13.256683,0 days 00:01:19.043862,gbdt,0.06560218142233307,160,9,COMPLETE
24,24,0.8851755453643296,2024-06-05 11:28:13.283267,2024-06-05 11:29:31.878620,0 days 00:01:18.595353,gbdt,0.0488166345401032,160,9,COMPLETE
25,25,0.8584839019681008,2024-06-05 11:29:31.913448,2024-06-05 11:31:14.844163,0 days 00:01:42.930715,gbdt,0.06333996988875262,180,4,COMPLETE
26,26,0.8786341898077717,2024-06-05 11:31:14.870915,2024-06-05 11:32:46.346121,0 days 00:01:31.475206,dart,0.07038687345472115,200,8,COMPLETE
27,27,0.883428828481079,2024-06-05 11:32:46.372520,2024-06-05 11:34:15.827032,0 days 00:01:29.454512,gbdt,0.03625932791454016,160,12,COMPLETE
