feature,ROC-AUC,Accuracy,BA,Sensitivity,Specificity,MCC
Bio,0.943±0.006,0.860±0.006,0.869±0.011,0.878±0.021,0.859±0.007,0.510±0.015
N2V,0.946±0.008,0.896±0.004,0.875±0.013,0.850±0.028,0.900±0.004,0.564±0.017
Bio+CCBeder,0.965±0.005,0.908±0.005,0.900±0.012,0.890±0.023,0.909±0.005,0.610±0.018
Bio+CCcfs,0.973±0.004,0.922±0.004,0.916±0.009,0.908±0.020,0.923±0.004,0.654±0.014
Bio+N2V,0.967±0.005,0.906±0.005,0.902±0.010,0.897±0.021,0.907±0.006,0.609±0.015
Bio+CCcfs+N2V,0.974±0.004,0.926±0.004,0.918±0.009,0.909±0.019,0.928±0.004,0.665±0.016
