gene,label,prediction,probabilities
A4GNT,1,1,0.0008067568273032233
AAAS,1,0,0.985981631548601
AASDH,1,1,0.010094245808962333
ABCA2,1,1,0.08552474526297098
ABCA3,1,1,0.0022501424532382353
ABCA8,1,1,0.00038083317800945425
ABCA9,1,1,0.0001507944210837442
ABCB11,1,1,0.005256827539278863
ABCC2,1,1,0.027898694866736063
ABCC3,1,1,0.05210835063552778
ABCC5,1,1,0.04201213711886572
ABCC8,1,1,0.009016944631386203
ABCD1,1,1,0.01215293390375315
ABCG1,1,1,0.015757010751677257
ABHD13,1,1,0.0020492809428807267
ABHD2,1,1,0.0003143085701073578
ABHD3,1,1,0.015050484272765707
ABI2,1,1,0.02982231255907919
ABL2,1,1,0.0954868422022875
ABR,1,1,0.0036445371856512975
ABTB2,1,1,0.018077570319728276
ACAD11,1,1,0.04949075784640415
ACAD9,1,1,0.1670465301617122
ACADSB,1,1,0.013689701387420528
ACCS,1,1,0.009509497810462165
ACE2,1,1,0.06898963853388315
ACIN1,1,0,0.9802540530567075
ACKR1,1,1,0.0005230580295214837
ACOT1,1,1,0.03353979994900782
ACP2,1,1,0.1064717484859283
ACP6,1,1,0.03730534115443203
ACRBP,1,1,0.0002767028788123405
ACSM4,1,1,0.00047027251768353426
ACTL10,1,1,0.0006412794050216885
ACTL7A,1,1,0.0021923215481645885
ACTL8,1,1,0.0026703698099587283
ACTL9,1,1,0.0009204203023092883
ACTR10,0,0,0.7943624860521957
ACTR1A,0,0,0.7734822167346251
ACTR3C,1,1,0.001690756594631193
ACTR8,1,0,0.9587689027788994
ACVR1,1,1,0.008547078400775999
ACVR1C,1,1,0.0016695449305535349
ACVR2B,1,1,0.006963282699013163
ADA,1,1,0.3528036582827655
ADAD1,1,1,0.0027791199231965934
ADAM29,1,1,0.00017771072097828579
ADAM32,1,1,0.0008249946106452133
ADAM33,1,1,0.000699714063881951
ADAMTS15,1,1,0.00022226399822949938
ADAMTS2,1,1,0.004749434151632248
ADAMTSL1,1,1,0.0002699733281221084
ADAMTSL3,1,1,0.0003281840213598897
ADAMTSL5,1,1,0.0012374761833860437
ADARB1,1,1,0.26441057211129076
ADARB2,1,1,0.03267316441020042
ADCK1,1,1,0.010044213925699586
ADCK5,1,1,0.002172611485072984
ADCY1,1,1,0.00042207945592717124
ADCY2,1,1,0.0007841661545597734
ADCY6,1,1,0.0015276242012337237
ADCY8,1,1,0.0011484827951208532
ADD2,1,1,0.018297440425875045
ADGRA1,1,1,0.0035634065528382664
ADGRA3,1,1,0.041076522159402294
ADGRE2,1,1,0.0117710442835964
ADGRG6,1,1,0.0046473455508265205
ADGRG7,1,1,0.0020722559084450755
ADGRV1,1,1,0.09412738258234336
ADH1B,1,1,0.0010628881172030312
ADH7,1,1,0.0005714546060926029
ADHFE1,1,1,0.0014784747447793012
ADI1,1,1,0.15158335303900664
ADRA1A,1,1,0.00034909075262238296
ADRA2C,1,1,0.004993009102852708
ADRB2,1,1,0.0880189271722582
ADRM1,1,0,0.9950562448498023
AEBP1,1,1,0.0006407572252070004
AEBP2,1,1,0.40209656717826225
AEN,1,1,0.034522775433045695
AFMID,1,1,0.023023573487217185
AGAP3,1,1,0.0027102574537626657
AGAP5,1,1,0.0004909933896131369
AGBL2,1,1,0.0004814635804909484
AGBL5,1,1,0.03493892145438101
AGGF1,1,1,0.15319049203966148
AGK,1,0,0.6524206799221972
AGO1,1,0,0.9529640491571097
AGO3,1,0,0.6768259462812971
AGPAT4,1,1,0.0040131850615202965
AGR2,1,1,0.07781309645975532
AGRP,1,1,0.0005921792708095897
AGT,1,1,0.005449923421004055
AHCTF1,0,0,0.992983806123035
AHCY,1,0,0.8042995734503051
AICDA,1,1,0.18948582984111786
AIF1,1,1,0.0017489602214656897
AIFM2,1,1,0.02252985305742955
AIG1,1,1,0.049312444130152885
AIM2,1,1,0.046646380058159374
AIP,1,1,0.3442323018548822
AJAP1,1,1,0.00047152383868345196
AJUBA,1,1,0.17118311233514447
AK2,1,0,0.5307516945582296
AK7,1,1,0.0006532504023287866
AK8,1,1,0.010456588006973844
AK9,1,1,0.004737897927388923
AKAP12,1,1,0.016819674994219592
AKAP3,1,1,0.00047089977396920225
AKAP8,1,1,0.2196280006617033
AKR1B10,1,1,0.002801432839527218
AKR1C3,1,1,0.016309497497691262
AKR1E2,1,1,0.0012643663954169382
ALAD,1,1,0.2078965176617587
ALAS1,1,1,0.1302385932249692
ALCAM,1,1,0.004743490004532613
ALDH16A1,1,1,0.047695964995720486
ALDH1A2,1,1,0.000898616960163534
ALDH3A2,1,1,0.09338856403784777
ALDH8A1,1,1,0.012338155690399555
ALG10B,1,1,0.003820982677987461
ALG12,1,1,0.08738045355105699
ALG6,1,1,0.09706473564158714
ALKAL1,1,1,0.003128886666957198
ALKBH1,1,1,0.19632262199643383
ALKBH7,1,1,0.008619252252805054
ALLC,1,1,0.0003755420850781732
ALPK2,1,1,0.0026938478176095184
ALS2,1,1,0.024290755453655923
ALS2CL,1,1,0.0006250951275552196
AMBN,1,1,0.0004477983096391802
AMBRA1,1,1,0.3892114814644324
AMER1,1,1,0.029729793987026222
AMPD2,1,1,0.01889148332793065
AMPD3,1,1,0.009440118868414272
ANAPC7,1,0,0.9947677052880431
ANGPT2,1,1,0.0009457233376438334
ANGPT4,1,1,0.00014767151125854027
ANGPTL4,1,1,0.004556239228116455
ANGPTL5,1,1,0.0005372658201927005
ANKH,1,1,0.000474389451397661
ANKK1,1,1,0.006625558647497931
ANKMY2,1,1,0.15288633332504165
ANKRD12,1,1,0.013569356824004309
ANKRD18A,1,1,0.018014947118624225
ANKRD28,1,1,0.12464016802086433
ANKRD31,1,1,0.0009925366453935047
ANKRD42,1,1,0.0006229558676399405
ANKRD50,1,1,0.003775216446345664
ANKS3,1,1,0.07517908536615699
ANO8,1,1,0.010694943040013172
ANOS1,1,1,0.024843935395791494
ANXA2R,1,1,0.0003471005521321291
ANXA3,1,1,0.007162631364666916
ANXA9,1,1,0.0017411693848741639
AOC1,1,1,0.0009200619292568546
AOC3,1,1,0.007044993694369206
AP2M1,0,0,0.6442881183620043
AP2S1,1,0,0.8881676944333329
AP4E1,1,1,0.19138493941400278
AP5M1,1,1,0.03717785184143911
AP5S1,1,1,0.0284248434071702
APAF1,1,1,0.4097784102781078
APBA1,1,1,0.00491441714980081
