,number,value,datetime_start,datetime_complete,duration,params_actual_estimator__boosting_type,params_actual_estimator__learning_rate,params_actual_estimator__n_estimators,params_actual_estimator__n_voters,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
0,0,0.87796948053986,2024-05-22 11:38:47.700310,2024-05-22 11:50:28.863164,0 days 00:11:41.162854,gbdt,0.1,60,14,137.8715015411377,2.2791561603546144,0.87796948053986,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8778324388789505,19.562275978276666,1.6569410626169718,0.015190124811981339,COMPLETE
1,1,0.8781903836677399,2024-05-22 11:38:47.710439,2024-05-22 11:50:20.140692,0 days 00:11:32.430253,gbdt,0.5,140,16,136.4835789680481,1.9279936790466308,0.8781903836677399,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8789369545183499,20.079216193700724,1.1706097073657677,0.015194556219518558,COMPLETE
2,2,0.8781903836677399,2024-05-22 11:38:47.728982,2024-05-22 11:49:28.281424,0 days 00:10:40.552442,dart,0.3,140,8,126.46146898269653,1.574044895172119,0.8781903836677399,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8789369545183499,24.93469840389265,0.7479801558092557,0.015194556219518558,COMPLETE
3,3,0.8786674260052474,2024-05-22 11:38:47.744573,2024-05-22 11:48:56.015037,0 days 00:10:08.270464,gbdt,0.3,100,16,120.02143769264221,1.5295669555664062,0.8786674260052474,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8813221662058871,28.261531219611367,0.5234530622740767,0.015247855851974341,COMPLETE
4,4,0.8784885351286821,2024-05-22 11:38:47.758915,2024-05-22 11:48:30.004759,0 days 00:09:42.245844,gbdt,0.3,140,6,114.4903621673584,1.860044240951538,0.8784885351286821,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8804277118230606,20.53326652548533,0.7561805008674949,0.01522088362291658,COMPLETE
5,5,0.8784885351286821,2024-05-22 11:38:47.772411,2024-05-22 11:50:02.924464,0 days 00:11:15.152053,dart,0.3,60,8,133.1607849597931,1.7824557304382325,0.8784885351286821,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8804277118230606,22.835984847985884,0.7736177495186127,0.01522088362291658,COMPLETE
6,6,0.8784885351286821,2024-05-22 11:38:47.777632,2024-05-22 11:50:36.060801,0 days 00:11:48.283169,dart,0.3,140,16,139.4369891643524,2.114055061340332,0.8784885351286821,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8804277118230606,18.734166144454,1.3715974519058454,0.01522088362291658,COMPLETE
7,7,0.87796948053986,2024-05-22 11:38:47.792409,2024-05-22 11:49:02.872637,0 days 00:10:15.080228,dart,0.3,180,14,121.65394797325135,1.2867595195770263,0.87796948053986,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8778324388789505,27.3925906926778,0.08797168485253369,0.015190124811981339,COMPLETE
8,8,0.8784289048364936,2024-05-22 11:38:47.817518,2024-05-22 11:48:43.962673,0 days 00:09:56.145155,gbdt,0.1,100,4,117.72854390144349,1.4207891941070556,0.8784289048364936,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8801295603621184,26.455235724817985,0.2394403472925964,0.015213752134288718,COMPLETE
9,9,0.8784885351286821,2024-05-22 11:38:47.829332,2024-05-22 11:49:42.558770,0 days 00:10:54.729438,dart,0.5,100,6,129.17772235870362,1.6891795635223388,0.8784885351286821,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8804277118230606,24.95104459480292,0.2795179678231334,0.01522088362291658,COMPLETE
10,10,0.87796948053986,2024-05-22 11:38:47.850855,2024-05-22 11:50:15.279287,0 days 00:11:27.428432,dart,0.5,60,14,135.50596642494202,1.876474380493164,0.87796948053986,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8778324388789505,21.39299672631188,1.0943856255331303,0.015190124811981339,COMPLETE
11,11,0.8788463168818126,2024-05-22 11:38:47.874886,2024-05-22 11:50:07.956383,0 days 00:11:20.081497,gbdt,0.5,180,10,134.33903560638427,1.5758573532104492,0.8788463168818126,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8822166205887136,21.36066970806335,0.5362570778946412,0.015283158491246259,COMPLETE
12,12,0.8784289048364936,2024-05-22 11:38:47.886137,2024-05-22 11:49:16.917995,0 days 00:10:29.031858,gbdt,0.1,180,10,124.14501504898071,1.5334278106689454,0.8784289048364936,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8801295603621184,28.311843076044603,0.23531215368237368,0.015213752134288718,COMPLETE
13,13,0.8788463168818126,2024-05-22 11:38:47.915958,2024-05-22 11:49:22.748145,0 days 00:10:34.832187,gbdt,0.1,60,16,125.34782319068908,1.511104679107666,0.8788463168818126,0.8493797104568219,0.8915625378293677,0.889838639532642,0.8812340760015178,0.8822166205887136,25.731836058074148,0.39974776436104925,0.015283158491246259,COMPLETE
