,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_n_voters,state
40,40,0.8576545877752901,2024-07-05 11:52:08.688130,2024-07-05 11:54:12.476512,0 days 00:02:03.788382,0.004231898290341377,180,13,COMPLETE
41,41,0.887944966789887,2024-07-05 11:54:12.485604,2024-07-05 11:56:37.165931,0 days 00:02:24.680327,0.04180977870402725,200,11,COMPLETE
42,42,0.8886544296596204,2024-07-05 11:56:37.174906,2024-07-05 11:59:02.760024,0 days 00:02:25.585118,0.04392173887975251,200,11,COMPLETE
43,43,0.8880293760033815,2024-07-05 11:59:02.769256,2024-07-05 12:01:32.673896,0 days 00:02:29.904640,0.0477622734400061,200,9,COMPLETE
44,44,0.88367189595708,2024-07-05 12:01:32.684661,2024-07-05 12:03:55.891607,0 days 00:02:23.206946,0.027731488340438242,200,9,COMPLETE
45,45,0.8887374886798554,2024-07-05 12:03:55.900843,2024-07-05 12:05:43.518161,0 days 00:01:47.617318,0.07677541229535133,200,7,COMPLETE
46,46,0.8895503791145497,2024-07-05 12:05:43.527367,2024-07-05 12:07:29.527279,0 days 00:01:45.999912,0.08301580433065923,200,7,COMPLETE
47,47,0.8752929069805981,2024-07-05 12:07:29.537306,2024-07-05 12:09:01.717114,0 days 00:01:32.179808,0.07600483471256364,180,5,COMPLETE
48,48,0.8884673890770719,2024-07-05 12:09:01.726714,2024-07-05 12:10:46.643617,0 days 00:01:44.916903,0.07981194984556822,200,7,COMPLETE
49,49,0.8878702440350585,2024-07-05 12:10:46.652464,2024-07-05 12:12:22.003953,0 days 00:01:35.351489,0.0647695606031327,180,7,COMPLETE
