,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_n_voters,state
40,40,0.8482407193253166,2024-07-04 11:56:38.725084,2024-07-04 11:59:01.336166,0 days 00:02:22.611082,0.0042986032380782965,200,16,COMPLETE
41,41,0.8875704653431417,2024-07-04 11:59:01.345293,2024-07-04 12:00:36.364198,0 days 00:01:35.018905,0.08009840556773724,180,7,COMPLETE
42,42,0.889752334987716,2024-07-04 12:00:36.373211,2024-07-04 12:02:39.883011,0 days 00:02:03.509800,0.0635898528194928,160,10,COMPLETE
43,43,0.8908746230488939,2024-07-04 12:02:39.893239,2024-07-04 12:05:08.732783,0 days 00:02:28.839544,0.05959270356585158,200,10,COMPLETE
44,44,0.8839133901150182,2024-07-04 12:05:08.742403,2024-07-04 12:06:16.422137,0 days 00:01:07.679734,0.05909917439393716,80,10,COMPLETE
45,45,0.8862233885170034,2024-07-04 12:06:16.431199,2024-07-04 12:08:27.612570,0 days 00:02:11.181371,0.03537637848373053,180,12,COMPLETE
46,46,0.8771458980914252,2024-07-04 12:08:27.621484,2024-07-04 12:10:46.215005,0 days 00:02:18.593521,0.048076337542907986,140,20,COMPLETE
47,47,0.8890155793590235,2024-07-04 12:10:46.224222,2024-07-04 12:12:47.710893,0 days 00:02:01.486671,0.06315578114943135,160,13,COMPLETE
48,48,0.8762906353732578,2024-07-04 12:12:47.720209,2024-07-04 12:14:20.018165,0 days 00:01:32.297956,0.028516454048403726,120,9,COMPLETE
49,49,0.8835040647930708,2024-07-04 12:14:20.027262,2024-07-04 12:15:15.034205,0 days 00:00:55.006943,0.08091938660708022,60,14,COMPLETE
