,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_n_voters,state
40,40,0.8856877513579594,2024-07-04 10:21:25.997231,2024-07-04 10:23:49.932076,0 days 00:02:23.934845,0.04283483353504201,180,15,COMPLETE
41,41,0.8899511462647919,2024-07-04 10:23:49.941190,2024-07-04 10:25:12.368326,0 days 00:01:22.427136,0.07834351686973452,100,12,COMPLETE
42,42,0.8890474827545558,2024-07-04 10:25:12.377251,2024-07-04 10:26:36.481662,0 days 00:01:24.104411,0.09988278820809152,100,11,COMPLETE
43,43,0.8899133537370407,2024-07-04 10:26:36.490849,2024-07-04 10:28:20.455412,0 days 00:01:43.964563,0.07906147101731197,120,12,COMPLETE
44,44,0.8893713792067434,2024-07-04 10:28:20.464272,2024-07-04 10:30:02.390648,0 days 00:01:41.926376,0.0833097274290306,120,10,COMPLETE
45,45,0.888660831150989,2024-07-04 10:30:02.400508,2024-07-04 10:31:20.869566,0 days 00:01:18.469058,0.06924371511076219,100,12,COMPLETE
46,46,0.8828235791906733,2024-07-04 10:31:20.878785,2024-07-04 10:32:31.066399,0 days 00:01:10.187614,0.05159862612142457,120,8,COMPLETE
47,47,0.5906651994629677,2024-07-04 10:32:31.075670,2024-07-04 10:33:34.735730,0 days 00:01:03.660060,0.0018892376879486074,80,10,COMPLETE
48,48,0.8913823813453939,2024-07-04 10:33:34.745115,2024-07-04 10:35:23.864892,0 days 00:01:49.119777,0.09125181050600767,140,12,COMPLETE
49,49,0.8707242955569032,2024-07-04 10:35:23.873811,2024-07-04 10:37:10.076635,0 days 00:01:46.202824,0.01932345736274913,140,15,COMPLETE
